,0,1,2,3,4
0,0,5,3,0.0,0.288
1,3,5,3,0.288,0.576
2,2,5,3,0.576,0.864
3,1,5,3,0.864,1.152
4,5,5,3,1.152,1.44
5,4,7,3,0.293,0.581
