,0,1,2,3
0,3,0,0.0,0.028
1,3,2,0.034,0.062
2,3,1,0.062,0.162
3,3,6,0.162,0.242
4,5,4,0.031,0.111
5,5,5,0.114,0.194
6,5,3,0.194,0.274
