,TTF0,TTF1,TTF2,TTF3,TTF4
98,279337.8952800852,129487.95446802372,344850.0909265956,419383.01064886164,345220.6498348766
99,268037.5240698225,139043.13303508543,295806.5090185591,376407.4528918504,269944.64779951435
100,139024.04925789838,249992.3207002703,313197.1976032419,352316.5384485135,459976.8443860141
101,191674.0282112896,272896.4022565513,221967.9858578262,175190.55074056904,310346.795373567
102,275550.9949087113,320494.5384110543,302723.334301721,350847.3630605449,301047.91209122795
103,133973.82613135554,257744.35203921754,257576.14783963587,315981.4499559638,388693.2028363279
104,255664.28278860054,237332.5036939035,234060.11608296708,302929.7791771434,225043.20845659752
105,340560.9584542462,274938.4757727627,204197.3198070164,211747.03119723545,432925.59854014515
106,160557.78048652253,330285.3353749612,216490.57082976305,393358.9067834343,381280.5869745111
107,253072.63395838725,263611.4265199122,200995.26593749167,264780.2554665335,385924.8793774827
108,286298.77596562,203562.1383496264,116256.06497209209,239462.50594787742,294995.46448017156
109,204817.89679222828,296789.3479266127,347028.95057878847,374016.7002031971,422063.6242542729
110,348537.35627536266,258157.75402518653,142012.11239194608,365657.2641048311,350303.11652383313
111,117916.62215988942,434451.5320201568,354795.10909422697,233622.2781181666,256872.57127970175
112,193811.23445943522,191293.32296243886,318950.42158865166,218722.50389692435,433449.8510294013
113,179389.4488789941,283381.4115166511,397771.123729129,523843.0921525192,220993.29717610142
114,101114.4474675232,219003.14514476917,190126.09300799947,320720.54418149113,213048.1607207202
115,82460.01392781278,375401.5511082272,167564.6690279846,330579.18311298266,455841.32316831505
116,131626.25086309062,335874.8491443374,233998.2594673985,276674.83255458984,351461.2699271282
117,168287.17819195276,220315.68812969798,257759.90072661,321631.7836683214,224027.9456975683
118,58284.769593996134,390645.28434070403,279594.7190434928,324105.6504467395,260178.65318390453
119,225140.7162942241,259066.06501393777,243027.57270692853,333465.5770144854,303386.0581794541
120,187911.94918384473,230618.6982174864,272229.5631466775,196829.64759275079,330087.4324305911
121,328678.2579345094,339442.89704168047,232202.0914395575,227505.87846679435,297959.79615142744
122,225074.32918934166,225332.80871227963,159725.8017091906,388528.41857197334,199309.43414563916
123,206961.4193768542,262025.0091914971,385388.28241773613,220166.27142841168,384251.6211871956
124,97939.41377057234,168564.95961423323,217799.51726379836,371571.8372736455,327540.21692806995
125,106766.66735023004,168240.41148288432,299488.56311278424,240174.05032581533,396420.60730548477
126,168223.24007298227,208199.40994856996,250550.94947309044,333430.0913678305,304548.1064632607
127,198062.09134313028,213364.8709758142,373823.2229610175,220874.83426536905,314835.4997791346
128,92529.19595257404,113155.7412894728,163863.73831507712,364869.6507306046,265920.882891865
129,129929.3504452899,373694.11441453756,444088.55681759934,264539.4627911438,427042.20039636415
130,78419.91390587317,189284.07604300845,250107.17836519703,335009.72064891446,279493.11625877826
131,226065.47407744997,277249.24248573167,175557.47738082494,280249.48854806676,345429.7354160461
132,53140.07257485345,80261.47122733892,233893.06998170077,306603.8594339405,294232.2984991194
133,231564.52212706505,259868.30996505628,316613.76046933274,335640.47235803516,460981.1590106631
134,322785.6863751118,328246.04332979454,266282.9326525357,444649.68611272064,290137.0143083988
135,172805.7442049546,87814.21884894228,203938.95500025965,213411.37549927496,242279.3050880663
136,220784.290245671,275535.9927207848,237047.00821880603,327428.5005724057,216489.23001356804
137,256660.0780694155,303137.65920428926,308578.88591921923,257740.76342702887,324657.48842151836
138,230125.19066720383,238865.08801393388,220210.3028391289,214537.75655273822,359114.32440889464
139,273931.3525557388,347141.4426711176,332790.319600064,233556.12470678234,318740.3298785662
140,196477.0493306694,320102.1271787756,267822.1515971277,326657.5573605229,232304.25191645254
141,270336.5796177038,245624.62191993056,296205.1749281685,399211.544820089,246536.77604044657
142,241965.6445649594,276422.54355071904,441753.8017835564,189292.4179357945,302305.18314418115
143,141639.22023920625,179486.01439686405,236873.33871156283,254555.4702745215,265018.97804868664
144,207615.72200747413,333535.8384127971,363276.66389599745,376508.55073277117,278184.908269762
145,71797.70789930409,312918.5444806266,216802.98150759868,288153.05936216767,366941.687499746
146,335009.75498164364,168707.7587404333,257385.5959209227,319473.16304591775,348039.8675515006
147,75921.90623905974,160656.8376731388,304901.94600665336,370175.66155526094,321638.4141768619
148,185357.6628076195,242850.72458494402,207320.56567898946,201068.56236008744,285374.2085606585
149,130046.32245819086,211376.8852415877,224364.5358326093,222262.37448867105,289866.67396242346
150,79455.08744043947,318545.8147574201,281714.2742132966,188396.37841842446,210282.75529453924
151,408441.51143558905,149485.69769792893,342797.12935484515,294271.5192784095,339513.11360977753
152,354328.8094902113,280414.2475816648,266017.00045195816,328582.42033025133,259565.09901461643
153,131326.74266873565,341858.4305832834,251270.4128099564,398997.2069002697,204566.8776557153
154,159807.6180315399,178638.28809134904,267034.92980258213,237703.01243611114,282554.9418106571
155,232706.91701227074,158891.53217968394,359415.055552299,354128.97507726954,277899.8299325603
156,199846.40008940204,331408.1390478096,249884.1913699064,278954.5508293968,344351.16518163955
157,76638.3811755031,260584.62773227322,189165.9910756108,245704.4210169959,305362.8861339014
158,215143.70879517417,303918.86191812577,203202.6536791334,344504.0841846447,211854.40000491327
159,241579.1431831473,331204.09737056337,395317.6148733287,157468.85805290498,261058.133500178
160,257147.0851908622,339661.0360127385,172606.59630294534,262562.167688403,252751.251845887
161,272132.5907189995,269854.2556022353,211671.79475878802,197098.62486146012,289189.53015473625
162,112135.72619189006,478215.93922554166,228117.02758589346,271242.36856855045,356889.8795220568
163,164467.73631883803,262652.2101565672,199439.6151202819,210173.43682988433,261974.25709983712
164,75492.9560971578,335576.9244543329,275786.8839366247,320683.2926934506,306426.1026918801
165,163677.79629286402,293043.5862920962,275723.18092207407,267148.3687812304,320064.85199523135
166,177195.80438460404,204209.35896575707,207797.18507237712,301067.53690783755,299607.7616270161
167,199153.2197898929,225190.03400641755,135374.21558644582,405380.9358975112,191590.12596572182
168,164888.1906444186,194352.43584267265,226788.2662934338,267654.6502826876,249507.77240280012
169,174438.29845975022,152833.8288493025,238985.11387073697,239771.16980840714,200712.25940767245
170,173226.95482791535,154962.3442565982,215065.0096952289,191976.92285730632,266935.6720144627
