,FFT0,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9
26,98765.14733602185,164133.918415768,36380.1879449992,109198.29368362739,94890.51979610186,8110.067691467809,89029.5413134713,175561.8934693356,152982.87474536785,123764.88471975714
27,184499.48565370156,70359.2955498869,217564.89702374837,111407.74547894027,147777.3070996394,3953.9725664972707,55861.78841914309,132722.8589203776,198940.08858677573,67573.56540969954
28,201404.62380792983,109271.34703556949,60061.071604916026,63637.92217008098,108778.20416035129,70287.31807084433,123804.35194857321,107599.66404216955,64793.293357439485,39219.952859564
29,238680.7204597051,154304.79496681024,200219.8869128155,198488.4348712164,184430.4278870947,98603.03660238857,126419.00824032287,94145.9953680094,228192.32920281237,79602.41916881973
30,127601.18202592629,188691.77199748054,40346.33147685564,160667.89710053697,55989.10401624934,104074.52994382815,34074.84758613731,158440.6242616024,137916.32493219187,114660.27662270637
31,145959.37438196634,106235.34132683562,80568.92876499752,76875.78855162779,102676.76151322703,75268.13388492158,186096.60538243724,27703.905705503577,94664.71351751343,54522.74368518109
32,35282.01647241703,72018.28697833196,129693.2293069545,122535.19282215918,66379.39920068112,72283.35650042228,249331.0633333562,107582.47544945752,235031.60629463146,99773.09225701628
33,20815.20360780732,114678.21235458482,105570.44200000547,143984.2349628209,81134.70292462205,130130.1794567227,118296.20102807641,148722.0374839999,144754.8795363385,143045.57000326883
34,123132.08872591454,123498.43191845102,209553.1807118611,166577.1606327485,121990.8541392361,101947.44224743446,115580.14990594317,72721.07957221074,26382.26151638891,183253.80646392985
35,42017.95251404514,14410.692992907632,220826.74975287457,118640.54972670163,67970.23052923757,20124.937635029448,130368.43974110037,113331.88985157727,129849.56685709253,242977.29390408238
36,124151.10617009223,22056.096893759586,100474.54836598551,159535.9755424462,117221.28982204369,118780.13673138335,79893.5518940492,214941.84181377728,65460.46310444061,40792.234935333385
37,193908.03083484765,129849.65561594011,152806.76226915215,247847.75943743176,195878.1453108825,130252.51811827968,158567.95416561404,345180.90459279384,233397.10775180827,281997.3913322684
38,233376.63553349485,60119.900043245834,149581.81780204133,55287.883001877766,108832.44983556848,76236.13231406118,91767.95013300082,49383.66384118561,84169.734839463,3998.8324793150073
39,32774.49333473744,271729.0475618389,136932.68641336344,219157.37790594087,248610.85889627592,54456.17929562883,201451.20432269183,40536.7309731217,73588.50945203323,234078.58212496166
40,179873.83730414553,248051.05294798204,74694.40155009656,85080.57065175884,99367.48772584877,198234.52719405125,81058.92588274067,91576.92170784292,182891.57612367327,240439.97584108912
41,103689.328779416,186889.5034789461,59016.213792480805,95107.6766063742,50901.50076965173,117276.2139282229,66150.3214021249,64074.33516696414,68451.1979315046,189700.99039552073
42,101714.00982652379,119228.17955488013,153639.26593950583,133042.40832396396,122001.71577208216,195776.09143347782,39908.77393515783,189780.95493806538,104808.73504902993,162241.27413805816
43,197202.11969126586,90523.15615025509,97447.33130984334,101259.6771589849,168320.17085441123,70322.6942898583,96283.086410661,174814.85594534295,145750.01943065602,275183.9494563848
44,267281.998963407,66059.23614088575,148254.73556506584,104757.274039997,184787.7384389739,43898.94022050876,86620.67649934477,215545.4895603369,125962.43588851985,158041.54027799878
45,74030.89322580735,211740.945397154,40134.58647858333,195103.14530667485,135878.3618698058,144231.71852777546,126564.64746283977,98484.92235651499,36433.27947798399,75547.90815455024
46,237493.0805170082,115050.7454394938,165660.96926876358,98851.26955680743,69734.89078970367,20037.676989829346,83975.64101405982,150457.78281909725,122554.06969335102,119138.70236618078
47,90940.46978262365,89172.02287687568,212612.62262229357,69834.00667651677,194419.52621071044,142917.38993180034,185108.239429584,75334.0874447206,163036.3003030121,50825.9179819757
48,181691.426767556,61627.032233011625,100901.60603729935,79757.77038119451,242234.97465658103,86335.73978253611,101469.54328876486,76164.85791022461,279512.0455226428,23706.448390350568
49,119086.70683823421,82416.50301069698,100386.09378463025,55911.02848918247,179286.79047025632,113797.34125887415,226250.10330956167,50952.74079842097,30255.89342116096,313193.22596466733
50,163618.39787988775,194656.848991109,109658.29119023115,257710.65858654474,212733.1183025099,178328.28426234436,184502.0664797966,167623.45268741366,131456.8387492921,87512.46030654163
51,73284.39493254731,182699.8231424808,39222.92992403077,167413.9526742607,50609.614128804744,195393.78186071615,64768.47242814625,66482.41385250636,170714.21480584066,139728.7147598095
52,276094.83303026593,93534.9916409153,258374.11243559455,48507.12095261056,47823.24422162493,84089.02863567058,160035.06365557518,188462.76084348498,119826.89255511841,64538.93299508421
53,79541.76039239793,34215.8491636167,152905.9595056677,27118.988856539185,84855.62513139473,51667.8364955802,146838.51882844418,87841.79372146331,188797.5614232299,107753.2017047034
54,51564.29405466624,112355.7621210338,150342.9685169243,220863.86781904753,114892.75714964274,71197.27235154047,101642.53357275255,136208.02084302832,135275.2788644201,159545.73569040484
55,38517.19935327515,136724.69376510565,198918.46800690773,61438.13916052966,167780.4342879009,328984.7466363606,51062.12472558554,75277.31695827858,104284.11267092367,228443.89768961913
56,127243.77476457934,187418.50598206217,272274.8967266302,80076.40742388729,176773.68077644825,169448.46147809667,43318.40072070964,123464.55947741143,188680.68402619986,181197.04910321283
57,127949.25520042542,74972.01968248562,267090.8330385521,124358.48226130963,85862.21665940766,106008.08535970788,26262.259315003004,138687.74517603742,216284.18177573016,265613.55574890727
58,88121.08338521593,87926.9016911543,124541.78623267399,81860.62252635392,56800.93478926716,27172.465279871132,206251.14292715926,194411.22046478052,163899.98974950984,152258.86110589915
59,63624.87863353334,23394.67562148076,95655.18354163703,302946.2304580689,125917.2561272448,137817.2672591949,146156.00152573452,223145.67840970305,75395.68338436441,117087.18099396708
60,110414.14898761219,48620.457118214974,159642.60686156023,124607.30932493253,185866.47404512388,127147.34976186437,135071.99283181241,105350.92467919874,83500.72109183206,32111.80351316341
61,59983.55318462978,145770.09391427194,157623.63964294258,29226.08830078332,123897.48899503144,31752.376095242813,210074.72624429277,156378.4515340427,111089.65572026912,227229.8357051988
62,114497.90525239195,155704.95332232927,139517.0627365518,136526.26466589363,145985.19812417447,117402.75039176199,162830.9915051311,118425.90024030922,146064.2292045446,75847.17689132632
63,87718.4900292318,143900.47407544608,58451.4790529695,185269.90715880616,92793.08441202501,24411.910930050675,140214.99784411155,114427.13486805628,149258.48336544307,70914.20844341148
64,65890.42426690579,56277.601101714936,88931.2823144645,96203.23102692812,147134.47253977734,48181.065114211386,234952.10739972212,89309.43126709171,22706.66537102286,107681.53775616697
65,124680.90780137331,48311.222847711906,69156.18958052639,141997.36704122275,153921.6290830122,79875.9250398824,214103.20450217783,77819.72714354926,109411.56881717884,93593.50080008617
66,138573.38649680594,85304.44852232056,26986.945922050658,31156.67759890231,81357.39519924852,92399.45098289468,152959.88007036448,86281.95764136425,116189.76760099977,192186.1942512033
67,116939.69778564581,137234.24550938886,49311.39544767116,103515.50954274047,106642.63826531825,175689.3031017543,14392.815216622126,118417.67964593454,134755.99566707277,121363.19824373354
68,97297.79011746611,58469.64685192423,119434.88366224754,246573.44841511926,137786.44945424295,157183.3971079704,140721.60005063293,177618.08288911186,67700.57182248417,146548.00705670821
69,159017.6146288223,193679.81485279795,86388.56583238764,147682.68476456267,131681.40305018274,237946.7047810533,38909.190756017844,149845.0474392473,60934.320543259666,135924.4779398926
70,90426.25779101111,69584.04294894419,122148.82283391544,147075.9942664459,26420.881639044877,160958.34498357397,106927.90004873229,62568.06201131978,280039.9957076283,163780.61789223232
71,58869.08279976147,26847.165681750335,110732.30943199867,123117.18007112737,117350.45111396156,86815.06515735529,144099.2729890326,49657.106072507464,18101.27969464564,219355.37055581599
72,97567.12663012245,137239.39100102647,226993.7612036318,79568.93667366006,57755.694187222085,54635.37105073174,92991.56764654719,90303.69518574282,64685.81099306418,145521.1225969418
73,140390.23383437586,76285.56854900449,46108.94095596944,141725.07116942495,58494.90441696627,43277.87369095687,178683.35951893093,93350.6594949258,96082.74583058499,257825.0164373432
74,189533.5615463637,161361.38489439277,204729.25437327023,86898.50962022727,12154.164935996288,110253.4333868435,18495.248334495092,69644.58022156898,115019.29329669698,359839.69931194506
75,287794.8673641792,208797.1983847678,158307.6649128673,83324.34293621691,28924.43071666537,126756.653484975,127609.82403665406,169302.66646180046,52860.02349551543,109904.3895739781
76,130933.44942361672,170243.510367365,109207.1893008891,60112.53022895982,19305.699569950717,203660.92890366257,106017.18097700244,51624.08977157707,195585.46134472705,130310.05561718873
77,45645.11580177914,100441.803136447,8599.201640965724,44942.13238668816,98951.43166208548,68624.78461260293,42935.57282160353,162983.2144787813,138532.0460796196,195916.23715860126
78,185488.84922287773,266945.23695133725,82497.6844428533,241337.80895799643,137337.64035329362,141027.32471095645,168532.09827587148,131140.58647491984,62704.40448196587,97611.8759735002
79,177419.7281078402,144923.0541487127,60175.73106581856,116777.12317434048,333673.11814076506,201229.12834033128,116602.73427257,98643.89883698005,45087.85865888414,132803.35256993136
80,101696.5232975984,91046.20073655416,136114.38955291413,130175.81096597642,78067.98938672575,80333.82227436671,141500.85839284104,105297.09739679922,110637.98165167455,248420.44597413338
81,257315.73434772162,131196.79483025172,130020.39671015786,61730.82768000688,180207.26708696925,167603.412008957,15998.846488972624,51383.13528512382,189023.11756122124,99828.49192411448
82,126222.0994768938,206801.56590758084,54636.79250126926,126513.37156934362,224694.45369215205,194878.35613151683,146610.9447588604,19632.67535520344,55874.402289467085,45115.93207708359
