,FFT0,FFT1
0,95933.92032345086,161904.7146681303
1,96832.38466926254,126589.8290692339
2,111672.51086471658,230730.23684642624
3,88577.96348857843,259435.88635518213
4,41958.93350041983,60088.91464945992
5,141064.10516036928,128040.95224476422
6,71792.60428594946,135607.63598627507
7,91327.40491213718,99715.3323232041
8,276024.5657893753,198943.3318386559
9,259332.985128065,53012.41476799642
10,182408.9980966211,142005.17206141754
11,127047.66617104886,246204.5754413365
12,61982.60044829955,145854.58684620963
13,171932.48798302517,223470.3945546055
14,88050.6721475361,170445.9981151105
15,68792.22339475586,167483.76722759532
16,132034.5826470224,47952.70768924167
17,128424.62444601321,224892.7051592717
18,82453.22856993823,130265.36235389618
19,90539.60647650732,121203.44673347642
20,69867.99832194098,197280.15171373825
21,79412.64364182384,68700.75329254543
22,114409.37081678666,150024.36245234366
23,50638.75772115995,109565.71124052886
24,188578.68312944786,232151.21181768502
25,87606.32205875486,35632.40641824802
26,230146.5444440939,187477.66542469684
27,216094.28990438182,58173.85340923592
28,101525.41709976182,52229.01462029896
29,113182.97343999258,120063.65938827391
30,67515.11949346156,54295.392441392665
31,223951.42859585886,130907.33808712321
32,75112.74768436547,74928.24432623448
33,91815.9068326319,107129.6893338612
34,107409.65836444058,81612.58457640256
35,135358.45619627667,106782.50889943732
36,169513.1021615344,149840.07350456435
37,81471.50841275322,63005.0819913122
38,81374.56034879459,128947.53615019166
39,18540.196421261197,47298.16120105835
40,36682.89815165994,97612.35760041044
41,149928.67734768605,138989.75905244765
42,243324.47904941524,52689.2864312371
43,101890.45093228733,34968.50781898051
44,105928.06414072965,77697.19981869451
45,115469.40629564275,197327.93923983033
46,187050.6386127549,162959.27107225385
47,221496.5050659124,119536.92794965423
48,123440.22213624376,90055.7983815975
49,130853.9725671092,147088.13174938172
50,92195.12645370798,15902.110087184275
51,175328.71264027804,151259.6041198445
52,184913.79962063607,121374.2103919577
53,278886.03867470287,141957.44369263574
54,126323.61272027591,49427.257912239154
55,68212.16231579026,109434.97365396474
56,28089.84053811295,42862.90183238886
57,118837.07745439491,169413.51253226635
58,77042.82664104304,186863.7311785399
59,77008.50475578941,174441.65034847253
60,162418.1229292738,77107.9961020851
61,54312.82035175363,260690.19520249838
62,137004.7516003486,82772.84821398316
63,167315.83951001015,84586.06947336644
64,162046.67611911608,106141.21200099195
65,54842.62480772093,165633.13625114373
66,62404.60004223665,39032.23383430589
67,87794.47642629287,223184.90148723806
68,129370.72325406919,202255.49412336102
69,26735.056825615076,152123.42753543006
70,121713.90657234247,193283.06692229985
71,128627.90115333353,43130.91102358348
72,97580.70088376489,92452.91479692038
73,226149.65311294908,290867.31200724083
74,62624.83020986757,26588.09301688988
75,228032.53204989762,45220.65984349681
76,60955.46868378658,132656.94019221532
77,107171.45903348822,168641.1495813002
78,234779.75553268366,182879.1485743537
79,160081.86057136016,67944.27512870249
80,71818.3939336497,18377.119101686018
81,86132.26141986124,183507.0948083822
82,100889.64879867669,192988.37081420308
83,101920.6190863198,234995.45120812135
84,166965.42810470657,132541.85123276524
85,164193.41541001142,140881.19237662634
86,114662.01669120176,47340.78362496678
87,158893.79850185802,122962.74723728438
88,150799.92375769877,28735.078737541044
89,78037.42858120486,161562.4045257769
90,8780.137930382467,87075.62715832725
91,146820.88131766598,62173.507080360876
92,174770.91759048103,97139.53038830071
93,116650.08863468726,192488.88586409582
94,92212.42283162731,277737.5678106933
95,363628.5216344278,37938.132081024996
96,125305.85139264492,173546.34217872765
97,118202.5563747873,95550.84857963427
98,115484.98813109979,130300.92707745703
99,82313.7839873927,93367.97614276235
100,51218.291712573686,103642.01483537036
101,6395.417129605094,127021.75838112744
102,170290.4041822963,189821.15111988806
103,40678.167283874456,143719.68646287383
104,119048.78954763281,112977.92087084685
105,157881.94084166578,118368.93264182638
106,192037.22426086757,98343.93079169735
107,155123.50976903606,120504.61814500162
108,187128.52781680418,69982.76375550596
109,121435.86949742804,185012.92555478192
110,129516.56429271634,139450.1824391384
111,106772.08317979598,190107.0262009705
112,72475.67099131626,16444.56910507017
113,110846.17067760146,90727.44751569715
114,85285.9206647876,94239.6674223546
115,64213.1616638542,146568.84511223185
116,34878.3827528913,58511.09269630565
117,132650.08690660444,128436.30275812646
118,198364.16510667012,339231.5915317615
119,81944.39139827764,70726.13672838331
120,105178.91630841664,160613.19084326204
121,85473.14793405967,234714.510969499
122,164988.5814837229,35789.677587019796
123,107031.62521663118,141543.52383414426
124,114958.69685759206,157586.34703138666
125,97684.88762632025,124154.20903467841
126,36258.33561135608,84080.96416249058
127,74821.59165558462,141474.69433994454
128,263795.49232689803,152847.4437208312
129,142808.00045958895,120915.31696594453
130,208631.49975522913,124978.8375403169
131,77924.13437671358,212147.15536837358
132,75642.29659518185,85273.6032547237
133,248113.59576463437,153227.2406086482
134,100604.44828919276,55133.4557074395
135,55947.795603980645,39033.78795717117
136,70081.35765323525,181018.29671578054
137,231774.5467136151,155197.44964110295
138,46971.05747392873,44096.862674822056
139,207455.621700097,162541.80363735592
140,53674.434856777414,108018.16554365196
141,115061.773835935,130633.513149299
142,193347.61854674708,118784.4424997901
143,117475.18021853705,243399.0004422661
