,0,1,2,3,4
0,0,0,2,0.0,0.375
1,3,0,2,0.375,0.75
2,1,0,2,0.75,1.125
3,5,0,2,1.133,1.508
4,2,1,2,0.381,0.756
5,4,1,2,0.756,1.131
