,0,1,2,3,4
0,0,0,3,0.0,0.288
1,3,0,3,0.288,0.576
2,4,0,3,0.576,0.864
3,5,0,3,0.864,1.664
4,2,1,3,0.294,0.582
5,1,2,3,0.291,0.579
