,0,1,2,3,4
0,0,1,3,0.0,0.288
1,3,1,3,0.288,0.576
2,1,1,3,0.576,0.864
3,4,1,3,0.864,1.152
4,5,1,3,1.152,1.44
5,2,2,3,0.294,0.582
