,0,1,2,3,4
0,0,0,3,0.0,0.288
1,2,0,3,0.294,0.582
2,4,0,3,0.582,0.87
3,1,1,3,0.291,0.579
4,3,1,3,0.579,0.867
5,5,1,3,0.872,1.672
