,Aging,MTTF,ET
0,0.0005,213132.35047820333,1.0665907049988164
1,0.0055,225897.37116278234,0.6302527049992932
2,0.010499999999999999,234622.23781466842,0.7224875100000645
3,0.015499999999999998,189196.31547099305,0.7085162750008749
4,0.020499999999999997,237298.78974993125,0.7041198710030585
5,0.025499999999999995,222680.92520446912,0.7078107939996698
6,0.030499999999999996,203145.43441240356,0.5996671000029892
7,0.0355,205915.63689676893,0.5988327039995056
8,0.040499999999999994,212607.56686783666,0.5874317199995858
9,0.04549999999999999,235663.57364677274,0.5934273569982906
10,0.05049999999999999,228791.3623392608,0.5814465359981114
11,0.055499999999999994,224483.70162871253,0.5881127180000476
12,0.06049999999999999,219642.95463032997,0.5855463300031261
13,0.06549999999999999,210731.24661839008,0.6953352700002142
14,0.0705,182664.6493363344,0.7102734309992229
15,0.07549999999999998,223147.8306847218,0.7049820060019556
16,0.08049999999999999,231928.71278115181,0.7036663950020738
17,0.08549999999999999,249400.80836877605,0.6879780950002896
18,0.09049999999999998,223068.6134750895,0.599934066998685
19,0.09549999999999999,215842.83104796978,0.5817150559996662
