,INT0,INT1,INT2,INT3,INT4,INT5,INT6,INT7,INT8,INT9,INT10,INT11,INT12
0,2.9966100009987713,1.559165854996536,1.5883084410015726,1.2922758470012923,1.3215780499958782,1.1828970360002131,1.1760745939973276,5.857606017001672,3.009347521001473,3.3122960750042694,2.8718182890006574,3.176060307996522,3.294604826995055
1,2.8437248440022813,1.548864490003325,1.4685598100040806,1.4324889300041832,1.511706608995155,1.1891130420044647,1.259429188001377,5.579903728998033,2.979726389996358,3.1459212080008,2.9283822259967565,3.0175538479961688,3.3124102899964782
2,2.8199440620010137,1.5499303129981854,1.7421073030054686,1.3384252449977794,1.6182412359994487,1.1927639479981735,1.1646800439993967,5.884620281001844,3.0762902520000353,3.1943441609982983,3.0139944170005037,3.1431940339971334,3.1611628440005006
3,2.8239670149996527,1.553020170002128,1.4781579059999785,1.3001316849986324,1.3401254609998432,1.1799545969988685,1.1687916529990616,6.001326862999122,3.1846252369941794,3.073461143998429,2.9891503929975443,3.065969417002634,3.102359009004431
4,2.8243759560064063,1.5543361409945646,1.6083140679984353,1.297186308001983,1.3205757739997352,1.177428572998906,1.1653706139986753,5.259826391004026,3.009256051002012,3.104627339002036,2.898064132001309,3.02586647499993,3.269543778995285
5,2.8298921669993433,1.5546312549995491,1.6159225719966344,1.2975098629976856,1.4435861879974254,1.1732302800010075,1.1697335460048635,5.282516531995498,3.0831912310022744,3.1987244519987144,3.013559109000198,2.962003314998583,3.3142439130024286
6,2.840853567002341,1.556016060996626,1.6211386369977845,1.2976140280006803,1.4456679539944162,1.1766793629940366,1.1689835490033147,5.325563348997093,3.0164785960005247,2.964901847000874,3.0133400410049944,3.1727660539982026,3.2189411979998113
7,2.8490775490063243,1.5536648339984822,1.6145845739956712,1.2955178979973425,1.4513830510040862,1.1949192660031258,1.3138297769983183,5.945925838001131,3.083173867998994,2.98495870300394,3.0064379169998574,3.0613678290028474,3.1547758400047314
8,2.8320761709983344,1.5624588499995298,1.6148646389992791,1.300371172001178,1.3908159880011226,1.18522685199423,1.3048071570010507,3.933678758003225,3.028496865001216,2.945452687003126,3.233489833000931,3.143438403996697,3.2983464429999003
9,2.8050293530031922,1.5528637130046263,1.6165954079988296,1.318545914000424,1.4549300680009765,1.183309284002462,1.1679622369993012,5.6707256070003496,3.0904087529997923,3.0113106820062967,3.067392267003015,3.1541740290049347,3.161591299001884
10,2.829304250997666,1.5589044000007561,1.6077926170037244,1.2977705669982242,1.4130108449971885,1.1786919009973644,1.18169900799694,5.851812133005296,3.1214664409999386,2.9731607639987487,3.0516232239970122,3.0036647290035035,2.981862364002154
11,2.834221699995396,1.5513497660067515,1.6213435329991626,1.3006358839993482,1.4937925830017775,1.1850528200011468,1.1713233400005265,5.620859064001706,3.1157798760032165,2.9803829540032893,3.1087493029990583,2.976040711000678,2.8868745399959153
