,ttf0,fft0,ttf1,fft1,ttf2,fft2
37,348542.9485313772,245757.52256534895,200946.6573068489,70055.19380438238,256218.54230037986,51023.40152439784
38,237151.95274706458,119478.57390151726,356584.1791854376,272337.66329662537,62414.24299819948,44509.419846729004
39,217898.51344963512,175554.586089725,264431.1700989169,80512.9722919278,162608.87428356576,28117.6581942491
40,106816.4514048367,86391.95704349951,362266.99966904,134491.23474967296,421760.6870091453,111197.93055959334
41,273217.0240929814,182669.76388340467,192128.8330742492,175412.31848361238,373903.6360697524,296633.8668869784
42,161448.09652751303,50298.8544582312,252728.3693737008,76005.05554341596,119605.9645653066,88922.20296784128
43,269144.3652404323,224791.33051495787,148891.44610923945,61250.39831802551,203206.73312473908,177155.19444371594
44,189783.68618880282,127943.09956595443,106875.138758499,40416.243464728446,118805.7673994758,74879.79951295962
45,334667.53977570334,213702.43692683126,231815.2199153168,119808.02177701256,157553.0250545252,105076.4046402456
46,229742.97411675585,138057.191057152,135015.6474651767,107884.0787900279,429663.75467939023,86749.5939524064
47,202072.04569724595,50045.8335381108,133671.218042081,49982.24070246811,318430.74793567456,106981.16956585326
48,307319.70369427674,189886.84415441894,223741.07323737824,153992.37016328046,187868.42054235062,123563.50823099211
49,394917.851613024,224831.48281233292,407938.16088935174,316096.20577729295,231813.1113689872,32364.99933257655
50,186105.730184676,122827.09742495774,249124.64420184563,108211.91740935888,155761.69149837506,71899.1893061432
51,322322.05910596333,252980.31671957765,185145.1009500501,110466.69857563145,334473.4531587188,277270.76056907035
52,194303.56465753476,176856.83995007523,197514.851311944,81041.7404774977,270864.87894722435,104889.55968405723
53,245949.90175770826,62974.96792013358,270226.703169108,136089.49553534793,302267.83316772524,107471.71342694634
54,203178.84902518467,131105.51362023092,170742.05295034975,125125.98833048543,287688.36887360516,209565.05790254046
55,312618.8782953338,255635.4783093262,295103.09614971565,203560.2029273497,300501.21066950157,80403.67296187322
56,382893.4283630337,131264.17059661634,129082.6092723014,82140.07564907619,373672.2437976238,197701.8281220074
57,215315.5580525644,75968.71786212845,197475.96248721032,149363.9363322716,349136.2435184596,50785.41651920498
58,192710.97465352458,169186.93329146833,232844.75974841497,142836.6954258338,249190.91374411475,133845.42533279763
59,58776.62582188612,42676.80354587942,149961.60893676357,65369.43973018819,109978.2685156598,99862.89797684432
