,FFT0,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12
10,100584.82398780253,179071.55756029848,81351.3454817828,102083.49675936789,159783.97263882303,83806.39310551561,83716.37035772245,18078.163176220176,22509.585792326572,114501.8723782995,113709.89650475462,57398.36254692243,47403.229666561965
11,53486.7486581767,55129.351380417145,38031.71778774328,46047.15581794858,198850.56111915957,88466.27386473217,88994.61770123626,132080.13123597618,95545.67861397128,203487.64071604572,165483.3818214898,195793.96217331625,109073.89718029641
12,9901.052087460068,93434.05184405,132997.63620501943,76870.24273662597,73694.6496596446,79328.18415529352,65591.33308283033,127428.01411327811,150278.85014114264,97028.62536882513,26604.117446304175,40175.63957095903,146766.71005894677
13,256094.86130825456,78791.91836978409,183798.15689096472,56085.8980248361,107529.19322686252,183646.60571762256,133260.05917062247,69123.45822538546,116174.80520136637,93668.55059547203,81227.30533209826,145698.59668101196,84014.97097653821
14,129248.16828498812,77735.11714661245,100481.20417934621,66695.91461319345,270751.7996918853,105338.21998615057,73373.16081531203,85497.56766181675,72003.77822889894,84422.441450703,54120.17272742208,114909.50561340393,125023.72095100682
15,35406.56948769748,177313.99107670583,108394.65370079404,188879.72475355706,121560.39531553685,207827.60088286528,6954.812833956756,37481.457860742914,174868.41514820926,346630.5995508088,178275.9502814217,71172.49948869026,98091.25998377173
16,122821.77100073114,69827.11449855121,135252.66202729562,227484.4263524257,208080.20797740002,127591.6420269896,135212.30011802926,51535.26382614424,87663.13001195983,96719.110455489,221794.8605120187,63907.18320670454,206896.2964422948
17,169671.5797865058,84796.75450240818,88892.10477721569,18900.292835877455,132541.44322177628,240738.6630899648,86292.94184547033,178895.0694003955,69034.03840540383,172464.29746359965,131203.35321493912,286747.1855574653,149500.6802153472
18,193963.18567542656,115771.24226431297,71198.11804697897,100038.19665272303,116277.54019880359,149121.74539576497,86961.72022072876,186608.80901951695,42766.807925466135,66471.81868994226,49299.088316966416,228782.5407085731,158803.15892752405
19,46741.680116951866,81908.24113667809,60501.57703756378,80448.87697529772,356231.24010760523,87279.70616384789,133905.12381575725,95219.07919570433,79435.50348069219,170339.68178097176,136269.63485052067,149413.35742660792,73640.70158633712
20,222065.7315096567,96862.9737856123,64192.817629809455,140119.37787677575,84035.34465250847,253583.46912978758,145033.4231364525,217503.92661064316,167706.44674310207,129013.17891143789,122597.90221098108,103978.98601948441,214331.83060326282
21,80186.30391059599,218399.07622855698,63231.676398089425,161114.6695716396,64363.3826647114,159742.78853330037,48068.8774736497,132347.05492166002,40646.9817185589,164206.3073856179,129278.18636064982,120205.19735860545,283789.5772297981
22,65453.20716279029,82161.71589156169,35049.88295665788,161470.01712290483,201360.52113986746,47112.01693716152,102332.69985896967,139085.96068856702,18395.06194763289,120043.06900300713,69252.34946098662,107080.31955307577,52879.23702547908
23,62116.54234936674,126263.30806436253,186970.9111190632,165832.66202065302,135665.75354460167,119778.11014066574,137199.06774109637,164689.56841962627,261104.63314336474,148509.88960822538,215919.23568543757,30313.92113737581,213276.9834431183
