,ttf0,fft0,ttf1,fft1,ttf2,fft2
62,131046.5204248522,44295.58874595118,224458.98881778412,125554.40767189038,241949.16706467976,22244.618794755876
63,133608.02278936317,109501.38703894694,208862.80673402746,101537.4909349142,144679.4037767889,42897.840117844826
64,331239.64411939355,283529.4961993473,333298.6119864769,209251.0845461864,228690.21092272695,109984.28728888305
65,197781.77674467073,18526.28777566326,192306.28380826756,66728.69202887018,80379.87684545423,64337.101585523415
66,169544.38781708694,140633.4736315959,98661.82590650806,97792.07083518141,116032.32174222385,73949.30220358311
67,149140.30796776857,118317.89796470014,308483.60215059516,229591.34625092158,261263.3799687069,161826.8261672967
68,354623.3432823826,152332.6294322216,209753.9906784364,115697.52824441867,264673.05504594033,264129.49487594556
69,116367.33373266223,104212.30675017445,195464.7295550577,114473.716280834,199357.44525871897,123035.0537548212
70,347058.8536721214,214070.00706310585,177564.253368576,39218.38410734851,124775.01308406307,61961.55364606323
71,211103.0811819956,157181.5511522686,246684.7830263539,126615.55295592452,147848.91467087856,139421.18954601182
72,87969.18597917358,60792.10369383042,175933.16348697306,146724.8905757171,155003.32830441417,119471.5138401326
73,254698.29309314204,242604.81378892154,83113.80263838543,48751.99310602788,143046.66476761433,105143.31201390832
74,183132.1953305927,152965.49437451764,326930.48565428087,120724.55269476576,186623.05954025505,160023.95887021825
75,235491.51209524288,206235.05534194797,48006.6727090317,17998.12919634564,178148.66318640095,119022.61544247216
76,111299.25724713563,51245.304805756045,154689.9900174427,122319.31017934479,191810.1830471432,166310.41515618004
77,176350.77755219274,121206.33708340187,232203.53303645545,213171.20493222194,232297.90888250037,42985.89686270307
78,164108.85633912624,101228.42342466861,242048.9403157884,40940.814112191525,219507.31632300565,118632.7941773406
79,257340.2499471648,174132.95985878503,86056.60238908237,70557.52309435286,144665.72741391842,132897.80306611498
80,166492.9139378489,130093.47700761989,174339.35547480793,140075.49973994165,50473.93265109845,20733.01307717736
81,173046.76817596686,144919.52791424902,219686.7139425332,90077.75201704296,161463.83645013277,64665.54498757026
82,207930.04365020676,156426.082842693,156368.13342568034,128530.99267334347,299913.3785677417,229647.79196407218
83,222438.38638606019,126178.17362262114,381126.12196065206,138879.120084511,217278.7509410025,165926.7829333891
84,233881.92753585507,180847.66618087504,173687.9941770706,91736.40058382323,163125.6525296612,99216.53991237507
85,237938.31364209403,35882.900789658204,195994.40042918717,86971.32781453764,150052.97252027842,12882.53432496111
86,116531.6087990691,94649.26469073551,178777.36491573422,41052.27993377246,214458.9933050052,9030.905399010371
87,140735.79683964036,139746.3846890849,192981.9536843001,120238.01459585968,168516.3401253096,85063.14859184569
88,226619.14688865148,109628.56008120808,196112.90652839924,160089.31209299297,253595.9227208848,108228.94303564353
89,188594.96184571926,71631.98701903361,114377.17383811351,108247.87913964434,211282.42505422584,187390.69495557674
90,244899.58264391447,178595.11353401755,49083.22505071496,29638.5234132598,198917.53949503618,126406.82252349096
91,302559.10917641793,264233.6957091882,295374.5553741325,59985.31528452581,311506.45408861013,184128.22606224488
92,135631.06413286264,58398.50843953196,269774.475006107,253110.40499416215,105882.86994560965,79099.6520448388
93,204311.31418328785,140176.82653881464,127798.4981076915,16840.716220528007,295126.4785446859,107887.74278548121
94,353547.32562963926,113134.13622959757,144162.78784822443,133478.64337011424,216324.62712866234,209033.255400339
95,261591.34574966566,259088.61171200805,185669.65311624622,86367.7285164609,96039.87952986214,83853.4334135785
96,429513.4937986069,235507.92989642965,84429.38011778687,59093.95111164936,255486.24721636722,119378.62930687761
97,179511.63814144197,136143.65314560628,442629.9487887982,304890.5081633474,305388.90262913285,125466.12778630186
98,141878.85598770552,78480.76248955201,291866.70807375794,143602.23995035305,130940.58804447242,45082.24672905313
99,65569.6036501811,26518.0532186216,240248.54855308187,53551.101805149556,165265.0393681184,62426.05405180373
100,148730.52696328663,52128.33571220345,118616.28280150364,97825.64317278418,218247.57546499508,202020.31823313804
101,212179.35082400998,151661.71510349528,137564.8783363126,123156.67968733424,170807.13641480333,117247.98968480986
102,149816.37279204393,135102.81932226595,303891.2513286432,175011.09411629618,160756.28642368043,67999.8408963096
103,335081.19379823405,297844.66294828994,213459.24348466273,83525.21837450539,220744.51305311036,140579.26420880598
104,173814.54311372043,160994.84488037907,292695.0664239685,44066.35853960364,309867.0668695002,256354.96515455443
105,354520.157858641,153503.6329373126,183394.34174990357,115905.18819428628,180978.54530751222,73951.49826716291
106,263334.9743660935,146651.72081255508,357176.8188783811,157466.8442906788,144067.0960736717,120643.74682113761
107,298871.22990190686,122894.1973036668,294628.2927935292,124699.80901257719,254131.43855744315,88598.56323100261
108,359433.5524731787,253552.19983448737,274354.0063695837,200476.67571858616,323469.37861484324,175696.0597970348
109,243167.25801514392,128748.25558205073,308825.78973644716,239986.09317900302,266437.9119925998,194798.6522730553
110,107085.70809941238,23928.540806237776,205395.2717857237,96784.17186224666,325436.89644740586,302822.86865519226
111,365175.30003354157,213748.56932879338,396936.3793719046,329619.7567100056,380506.5115494862,121756.76087813506
112,214025.8982336482,158547.82307559883,282532.3786541857,109106.9835275978,186349.34603534112,136172.0575050409
113,167152.13761393755,120599.2234688453,139406.3574757381,91139.5819615676,121434.48988509027,46627.73406814345
114,214550.47194150861,36513.14921818179,237829.00413920038,89367.11122820352,175861.0811127345,84134.57884887431
