,TTF0,TTF1,TTF2,TTF3,TTF4,TTF5,TTF6,TTF7,TTF8,TTF9,TTF10,TTF11,TTF12
31,210403.98613710198,342409.9548842744,260450.48873529903,155614.76948986677,295691.3053704864,294807.4096111143,239064.8658824439,244223.54352668213,230941.66014324498,406766.358093796,117220.57017684757,223019.05414686206,217314.58919812567
32,179728.73202045643,191308.29839327352,311633.33564056095,230549.87794100662,279114.0569402141,225267.05616634394,210448.40510996003,215500.2019346753,252463.0328728904,264554.43469095556,135315.0063070114,190083.5294879674,217144.83272127475
33,255530.33141266418,226065.34864912048,207402.35889788123,205558.45207566887,147219.54836261977,152106.85755919613,441495.8240247485,231602.74121642509,168350.71967530408,199207.585686944,460514.49576158286,258166.32683852589,375003.6978997999
34,223204.141804063,198491.93463878383,292249.8106600646,229205.90711440594,169023.9079848895,235207.79169699145,153441.39590768376,157869.426391841,341583.2444113791,127740.20558488197,335755.7454229642,201096.22477336356,211577.15783987616
35,87552.5641705376,310685.27777721395,215713.4765348559,351477.92314753914,95275.98612666612,112313.48783595096,266422.2027263256,232591.40390104236,239443.6537899755,202321.43150991396,133191.7739559464,223300.1087975673,257631.6703094081
36,154024.09267114036,275593.8664388946,216401.91657931998,165937.1461426333,75789.47323352711,329881.61756714794,288813.5000133462,48457.741680286446,233338.06662211707,201671.5958579493,174508.30723580558,235510.71586058836,184572.78361306406
37,203194.83714986627,164754.30333852826,232466.1263879134,265027.54614971287,317589.5849947576,140601.50572511367,220093.8157499233,191252.300298638,370448.1536582579,148345.49546216344,172928.37751822587,233063.57784061445,259675.3384956656
38,225899.16856556965,216278.06878408423,140930.2520748502,311820.28512001067,144552.4779848502,176000.24053088203,265919.40114687727,302550.0985581684,86675.78049870167,196737.6293338198,217841.18384625466,164780.94053887745,230352.55400435702
39,151974.27719248337,179245.40915008893,238639.14453838923,290677.98003006325,177924.00834051165,134073.3980290916,185601.37348670833,166003.44739757082,225307.1319776108,131827.62438930944,174476.23418367858,197585.8413810754,205296.71142721898
40,365773.08808657114,93317.0278486164,412292.33284145343,165134.307983061,249511.8552494692,251050.45692375168,155219.81536397102,145865.28774123613,125426.52529606095,181267.06649134296,132227.3001164325,248189.4392878866,230266.0369148306
41,195737.44108829176,77948.54776386861,169804.08971019197,203987.60580336934,253813.29258491087,313746.52733039815,111598.71649040139,223809.2728223769,164742.84233478853,337445.3514340447,83241.75160259471,216431.64173975924,128171.22412796345
42,239029.1815511008,250133.8484446489,169109.12374237063,551868.0952726736,348046.6278410001,331220.3878495019,259405.21000679384,339951.52617952,330034.7853876306,335616.22392907384,133296.55502048202,228042.48306930115,286861.92390464107
43,397496.1329797435,395056.5916097331,178819.89923860572,163624.24216155382,387222.716891952,328885.8193126478,233285.44194059694,207299.68601173707,214462.48049621162,316887.10702073656,401914.76106972765,152159.4563845861,111763.49165484052
44,224878.38395665045,315635.5616198133,113624.80909588485,231784.23173765244,310492.0201633773,399250.26240533753,223707.53025913384,153994.33506848902,194330.44207126682,218710.62732042087,230191.60509318524,230361.14324650407,178903.9287452845
45,266300.5949753694,86444.99387354193,356887.4764808069,58555.2912501891,118522.73415256655,266165.7440944803,286716.81201789936,254009.02623848544,336258.04185279657,248510.61276314457,246072.90705546032,317833.4174045931,273891.6569871634
46,346008.4126951774,266561.5145039884,368593.61805942206,335221.58327701205,246985.81866860756,206301.9527814619,299481.99133554834,351935.2826139771,245868.96038411517,257129.1792246494,236976.72258675686,195856.58136785636,159833.66405524098
47,318016.1405551181,156576.41944783254,204046.87159967498,306323.84018971975,349402.76046611834,259865.27834604646,181400.76127726436,98548.48716219453,246582.74364845466,151473.81268084055,305587.9494527456,71365.07629384645,302413.80772813514
48,213806.67316205055,205761.52646736449,374512.9123781747,83647.0866622878,136557.86948198406,263689.6863761499,190407.70570431414,190049.83642754424,330059.30093298934,75528.42666949524,233637.92652975503,92999.26937773818,213531.09985778606
49,182562.6625773612,303778.841325535,260746.590590911,232560.07522931971,150452.89914604602,213985.32968484782,595281.758849463,183450.63104626752,156161.93422732368,233651.13798119873,278066.9288166125,170293.64503008578,372547.6275642201
50,160421.46405087627,274133.4753906018,131247.18522036893,175558.63599569982,338714.60554882966,76309.3297099029,318528.5473965199,294528.8440545438,230294.11670207905,212326.44226173472,138437.66385840165,66130.799699661,346745.1805432448
51,315430.63954612194,149595.7465655689,248910.54355017713,110132.86220868606,160643.862163347,150769.81750520022,228299.20619252307,372786.09388408944,135352.78136190004,149018.1124518464,299836.1556146536,349244.51822793594,250360.11292698575
52,217280.29588584544,250626.24478298138,180839.90907135163,255659.43212892997,152195.7380756067,57201.421490026725,281781.12562805496,221647.99606779736,134564.91300450027,83604.02895675781,252980.5025388171,205758.8171956836,250584.8941513742
53,95612.33805503068,255385.2219791665,156149.1434061316,198476.6602955496,104787.15310524289,168547.85886480124,289920.3873666753,416492.72034271446,214079.90679191286,104724.142029526,83980.42442149585,196012.47673636963,108185.68703031115
54,245568.85469896812,199913.23797854042,271789.64234767394,281966.48939881055,229549.767019656,314472.6656641897,137102.9187060501,259460.31549097487,144887.5217330412,146373.7392493728,337616.4688307847,459189.3290913438,207190.28755406218
55,149605.543274443,379229.7088854442,180889.8611694965,169018.35406471515,132498.7660507363,90523.21353441937,224419.6526695054,123270.9272838971,228156.6300948811,176973.92540199534,200299.52134562278,89534.10498227889,181430.3891308218
56,185571.56194120127,233204.6861397075,112287.52791153554,355197.9832333319,139679.99681459137,136888.12439568792,390533.19706897426,229001.55654455704,312823.2024552424,202033.74560233104,261191.37782494954,148877.1633543955,218347.22662811598
57,156701.44083376194,323119.95913827704,260914.83277453986,188168.95975202252,152990.65906929696,259505.19518148495,325952.1294109209,228797.29152999813,294940.87673871,211006.86962991444,97627.81398060922,56891.65758252562,277428.77350697975
58,190528.0960853552,252353.1292811973,193098.15506676826,169533.19175602356,282739.3960171342,201357.03353873984,129758.82546113544,125707.6212646721,206066.1682874637,271323.8363630922,199976.00143471314,391466.5175574306,261641.10380540253
59,320648.10282751406,221014.02683776585,254547.3299600441,393630.36371404695,154424.82360886113,116278.05231834725,159465.7182215563,397873.96681024047,244583.0110202461,214749.204522488,270953.97480657394,242199.1634395132,283010.709831887
60,427781.72611233,98938.64014122504,148094.22948388767,232126.48349627372,228342.14876807894,94524.3502083496,146301.50757563213,66102.06959276051,176846.8925330807,303139.5591287154,176817.11575160275,225500.07013572007,202269.8609441325
61,240798.89507549256,231217.45195512645,306127.9269195745,308048.7823308588,79547.56249093081,360779.5420556657,384684.1911669356,116213.99763786473,187641.41103547905,135028.70251804058,263528.48540824244,158738.01612396142,352576.079652514
62,130136.00034647851,441729.05158541305,233003.3063769701,122555.48119133126,131803.14973875938,213538.6559553672,147431.56256039857,177131.54766072158,284220.12058296375,234410.41020044006,137463.0706792873,294279.78027850605,130767.15649132614
63,341859.19179006334,223933.89714936592,235885.97002398284,190717.32769955436,155237.06893859484,289054.03941806796,308244.464489501,308084.37725844,205550.0144370329,278140.23736044177,126305.68167550515,207421.47287299822,166624.45015054347
64,234820.00261879235,185059.5209490015,277580.4881031235,141943.9207475065,250057.4042823294,162511.56323521878,72441.46240748753,92248.45731533782,188312.02751247186,264781.1583491755,275942.4906692841,286793.9924989394,150536.68336718902
65,216325.1173682412,593999.6168318501,314562.83365518285,183128.7624966932,399296.6549671614,324307.42886653735,178184.3850481299,84206.36720406095,288687.0278758934,270586.1156557604,67917.39883946483,55196.1063630706,225651.92272997857
66,334256.6071581687,113671.4899559007,250312.2468632435,278372.1743435947,244653.33694903244,297684.90909289534,415088.35771432903,173376.77510204623,171559.91069847072,120568.59483788915,76981.43604120726,178126.09927244793,170697.71330933692
67,152590.98974630193,273381.95757733705,251454.49498466897,103596.23296234786,257224.69933795067,271053.3206853694,239159.02572384354,241312.9302709283,374981.8917930579,464807.9453311195,56449.58183223552,147770.59320593637,249969.8654654911
68,245145.3382676035,209437.435259276,328104.4245140373,302016.01829331456,359934.20046690543,225184.10627248674,268905.56495604425,160836.52733211254,91305.6278487223,336146.23755862575,223923.60431750584,292152.0844144861,252819.7149027083
69,208883.98739734557,314574.8221401577,228585.27609290028,231704.98049815107,253632.35588346916,56402.78780967146,182913.73311803635,148691.56533254412,286477.8349410724,119642.66468884583,235487.04730890796,182815.8346297247,169533.85211846227
70,318255.13073977816,135326.58180527776,213976.40945511052,232196.23759293556,357006.78907704476,270705.2816532344,118870.50882477086,300149.0904611136,267188.34234736866,162289.18974269347,182122.21853305618,132259.4790087511,225046.8854728013
71,170138.45737252122,103262.22966832411,296107.8696866432,309801.09664138727,156981.38312528055,147903.6455499023,69517.33178550338,324401.93821173743,246178.87762144118,164399.22065869332,262964.9595514763,136094.0193532428,192847.42608976236
72,171382.85614996954,152321.0332603941,292372.0869774984,167037.82529398112,188625.19264989597,308746.85681241605,128854.29763346488,149233.61672113868,170716.14862759726,203590.93580601158,127525.5873374618,279761.79973594623,315720.94258583523
73,251597.09935398292,152522.8007687354,65476.177162178334,189687.2003443105,142285.5980342065,191291.42041492584,264166.2357004782,262110.38504553947,197715.66993918823,158497.8317859585,226987.76361353692,278562.87657503586,175168.8898052678
74,199107.30312378937,148073.69971879112,194573.84746611808,283878.07635013445,340313.59979718924,345776.26309701294,212809.56125046968,354288.0411132953,177850.09948993396,279440.3023493036,225901.38447609197,257723.01909174095,193493.3478173126
75,265516.03359602165,113196.98012935462,222591.8860088529,111454.34285751462,214747.91825057767,257226.7792286448,298937.8477661635,235122.10154605503,287681.4475929345,237176.03732644508,245593.27157953905,97750.71158574523,385170.3106255806
76,257234.49862022034,142415.37093959982,179737.08100607572,481657.47153266374,272306.6011172645,97947.42767922823,223131.7879236336,136928.94502527133,274055.50163369474,145047.53456779284,81862.52530172892,223164.93757238894,357461.83428531804
77,399568.79090545594,168166.1821714765,290617.19084176427,152058.0639176609,210225.812500567,253377.38700451597,270529.12000434,106204.65636280674,144738.16709467082,274648.99671980646,264663.23748918925,217183.73198062263,207227.1113140137
78,177573.0468480056,191439.05677163164,209224.3479399266,229667.35882019927,297095.36774117104,363782.0819923738,213061.84707005613,235351.82578683126,219620.71671045356,138299.82160838117,110623.00494032909,224724.35996160138,313589.2488786418
79,285631.28958601743,157289.8659610228,186004.4602031785,285118.3635702176,290540.04244387406,278309.4498875649,174704.11925056487,107930.66467117428,318835.96305258793,138132.9179730778,114318.49552656634,61682.06847067755,152493.95952567906
80,334823.37391357066,218084.39666679775,123573.71593876294,164180.53186297917,54129.57189371927,119087.17486711923,264592.8443757514,253954.02124463377,115980.63176754564,288037.6877246267,317593.9869448316,235738.76953016216,105276.51955204777
81,213722.52909384656,316283.6036894599,231074.96787914674,276722.2246331774,236266.57376611815,421731.8305714752,227185.16839826133,125596.62611347856,131718.56676821227,109129.72993907522,121821.37872203336,207174.24373275286,329813.5699481713
82,219559.86180152275,222147.90455529472,346181.32578294235,232347.68535187864,218950.18689673019,187360.77775979025,268829.0759212581,422193.02348094725,113115.25244522323,285166.42466041347,190604.0042336561,201135.93192795702,184630.5824895545
