,TTF0,TTF1,TTF2,TTF3,TTF4,TTF5,TTF6,TTF7,TTF8,TTF9
33,78699.42829101978,141025.16551165032,319305.253747573,180935.56667344444,220837.38666981383,138034.05125340147,238510.88841672635,251760.58663228637,217393.99565445824,256887.99407163574
34,296405.3714093899,184472.773563315,391939.19332295004,437055.71188051807,166025.19189783672,293630.53245006845,150866.65718521242,81247.3730086616,254733.70365703595,196400.3607504645
35,98839.05002157716,99441.93246058607,275427.5838507768,252791.1254090963,309714.4119574948,211066.063974932,307076.3243581544,204875.07611472666,139902.99083364737,342187.9931727544
36,179599.94123549399,152143.71024266302,128448.76730736921,300426.11889765784,165540.64227964258,182586.0275148764,132776.36869913025,401493.5043520096,260002.48931941134,413739.11288576934
37,268603.29142151633,166916.54655934114,194980.65624921882,292515.59434628347,272432.4048163198,261551.86325711792,226693.1769511533,398297.12993848725,277922.53322276863,300836.14733102714
38,318263.4521739853,284926.95226661215,300249.8979825177,197198.7321878618,115544.91438528437,152965.0076911687,103022.3954029815,243336.80636664474,162784.9228660004,166276.0439603019
39,249884.89014612854,296400.7678503749,272996.34799993964,238432.89143018133,251274.85384228558,290497.94122703373,243647.2594961101,61321.67854354719,154047.26114445837,362206.0767904077
40,424398.2738833403,287611.3266595644,78560.41433868546,193545.3148231752,148816.60028022528,220066.40968065418,136894.22000384226,92906.17071949074,239995.6545651053,450659.6728467945
41,233407.3718759252,339312.4156236183,351482.33691999246,107122.98415107616,155718.18101352028,147394.58728070254,506703.3471918811,194421.2501801944,272045.51425092097,357519.97634891665
42,107731.93220087056,258357.04190907022,315516.2513032015,220420.6968706398,191132.75705433253,248369.58920560786,96292.03177814066,332135.7925955459,178500.99397023587,224869.84645776512
43,261955.21715547063,212041.44963021504,217672.42859718087,108259.16915230331,228869.64688502974,258654.68288015854,170759.2987485968,185029.21025568267,152541.65772899523,306057.26869201445
44,276459.19795176934,78727.24970535835,157609.73010977768,234912.1580397857,252343.7607932267,220207.1588506124,154193.62676356174,322449.2954050386,242761.83239733987,214920.13444050742
45,125959.55002021247,247544.97485156904,241158.43631516473,288836.6140053142,250384.86716574727,353682.2408543023,140639.94849447248,210081.08119408257,191214.65386016836,256151.9996825443
46,252566.09080547822,421303.3494979214,233625.2396275892,149018.13640782586,233489.29745476428,336219.25843222527,266451.27800066763,198404.4540851512,201412.75608218584,278681.5539553547
47,361929.14771130733,231549.95698739425,274811.3216883176,251031.7977995269,310015.0571535672,209276.1456059074,245511.96345593993,167015.12432404264,237988.8156646049,82495.32701910092
48,202410.03489631193,121001.89681774995,197075.1609597186,146885.79007862823,442681.23782192357,93626.24395097945,329881.40330768866,97995.17371357438,340406.91669944156,97779.51960391141
49,196030.86824836675,204139.30332875426,183104.65323545432,160081.58247724624,181933.2664789326,181106.54156419262,255459.88290924302,260671.80141503754,194042.99079394413,407378.37951426586
50,223421.27871859426,240742.61287813986,358483.75373821077,336469.90419757133,236840.6586884801,179314.67217337387,250551.950739478,247955.83620851662,250015.45358653192,105990.63659206472
51,100110.8474941451,215260.12605118527,61200.747457540085,271182.0946488925,338195.1623616998,228925.94787358865,185450.3295736836,203064.37483779714,181650.01472959807,180459.98352861748
52,278398.9790472906,205667.92977131295,302198.87670966215,348505.04891876824,311045.8303417936,133251.49288681138,196637.05832210125,296325.6690601584,244585.22731314742,70414.18809024201
53,148199.56127270323,207096.9058963132,218973.77926933096,125859.16759489485,353826.8144233116,332302.5615351288,246461.2428249724,217605.87935517455,316978.9326987022,241083.6105010783
54,139978.49838411962,349430.4899801172,224786.6167661214,239610.93618587515,127797.71355730358,118143.04288624722,244821.0152085159,214169.42752874855,184609.05006796078,179745.41846347012
55,148414.06809387656,336279.57191018446,213897.4173891874,114197.90237239283,237894.10499529977,330810.73410923925,113161.39024532298,224913.44486305054,250331.3447787245,241382.69362237418
56,288676.6375276939,247699.03375360588,329316.8339514259,280665.8675703185,253950.33749713723,202968.0622063883,270217.76896614913,230564.94326147018,224477.6858885455,202847.93634188137
57,162015.51371458083,93934.21434246798,372662.8950595804,317082.840220887,263660.8972301546,277279.40457124077,272948.02933650307,171794.1518736957,331941.5786354647,408050.01355223416
58,188964.38195473462,208500.04685732455,133375.77851709962,133842.4485204337,103728.92166726888,34787.80777558579,251545.17147470205,266232.99314886006,260357.6670803805,244379.59268610828
59,125824.54517278928,219839.31114866064,191927.01627298121,313061.1948913001,191218.51755186665,185648.05173568768,261515.98027354735,309000.2784791145,146035.9258109811,153330.1559036301
60,168384.43838742093,169414.54657419887,269294.44300341385,136113.98758329364,304977.4028590162,304611.1646787969,218240.57915902816,125581.17041092724,154889.81195286394,69121.52627150388
61,128965.27528634678,355722.20803677675,189321.3377537941,82462.53181887841,153686.9321554345,173187.96618534438,215542.88248653663,211216.0244444278,204499.31043301412,232440.1574013403
62,273841.27213677944,289517.49244200776,336818.48110420787,202398.28808729458,181297.42967174048,125459.29920509254,170124.76457789197,393435.2354400692,346259.53982229054,203085.91730383923
63,182467.0605422408,239940.94495676286,142521.56595763058,237589.91507549316,190493.32178846296,49919.55163197209,306322.0513820234,197408.35772579437,174014.92853226952,132928.19997938222
64,360008.6975337026,352712.65838005417,330663.0711903374,110429.44644728664,158741.09551278222,132979.75493468065,308185.4231678783,128551.66209620972,272165.18099776097,128859.71699469333
65,261458.03960485672,171168.58195907582,211790.54693073576,145524.65696626634,201981.33971967408,198227.55488992087,400911.0305208591,126323.27948296981,132689.65130630453,112403.54956946791
66,185420.40137497787,307574.3303643744,168929.04487961356,94019.91607288911,117575.09617278399,102292.1446206397,284494.53031480534,114395.6692974194,196010.05403517978,273382.4221596522
67,416180.25557134766,138173.31009463881,295938.131331229,124925.09516272359,115417.90700724152,222547.7151487853,98881.06963563098,152784.77253184904,214140.61139522414,246941.93796129944
68,288781.0981653168,138587.52234883525,268363.81882610754,290199.8366497577,251659.46048399754,220486.7265318119,163779.93500679993,214750.7788354169,147190.22637575705,184514.08079530502
69,215963.57287075915,234125.3330978958,140403.72784340987,174565.87058469365,320210.9958631343,254450.60094855816,202578.133693394,165004.42269656408,138179.79933485916,245518.62176858075
70,181620.57255066105,133725.506765517,144801.8940514453,176841.34453057274,203479.30981476643,223853.30997595878,107499.94888551265,279464.30350373784,282982.25583455403,245002.68793946874
71,296473.43849207705,323203.9838499489,205782.42254534512,161596.13245186466,197118.43609791689,97085.65383376891,230506.55291320488,193926.29670592747,49583.6115888982,220547.882309574
72,136413.10567718782,171842.20071587348,287952.4708516018,229996.11991147048,147368.91793409613,161463.08220454407,140615.3926337991,109851.07451118412,252002.4152295256,155544.83182733133
73,192580.68668454475,151857.74870033283,135555.5427855011,206143.73006121354,138880.926456581,208733.61334960954,241470.50773635952,315641.92704149167,266967.0371470839,274992.7751054731
74,310846.7204540962,315840.694901227,354762.9325642795,167343.13678441028,106638.2166561592,375514.5302829542,37705.69331263998,162458.2252775819,297950.3598450253,455383.62730437145
75,351313.9571055075,245812.86457816232,355762.2473894687,366386.5938842975,99140.2182518606,135284.4436633485,134871.7248321922,203362.22622898952,124816.5722427135,334210.16455108026
76,416174.48581616173,274864.29735228466,240222.25485913877,194585.28771082417,154691.24146413562,305295.80428241263,154135.7809640825,174588.66083276356,212881.4935712389,306720.7497121001
77,219813.2826645519,148746.63461791707,55029.51089739762,52457.70810314741,227486.52771160862,154751.5563822916,57092.69201201159,481277.050259099,299027.32343411073,231885.58728114094
78,214500.65042174817,285395.6594973877,217262.2826100929,281087.66614726314,142048.6515758711,448192.6178715413,282133.89935837814,211778.12953663975,231260.89924743076,373636.67439967603
79,274797.23034551955,181640.49907080497,79811.11081300012,149123.42377285473,390897.5777488715,222223.42158099762,285977.84905014816,139173.11543194126,57966.509619435885,195169.59280700912
80,268378.1779006871,204911.3991599668,307654.35614811606,333777.08788336965,107480.18567165727,254532.26196310984,163183.62918831615,168003.74848599767,127643.85332381923,264934.6513337414
81,362643.6719192086,134112.87534020405,201356.15024521004,308938.6845862948,194631.23866460394,241124.79535085114,142775.099260289,69097.57905619638,301687.04521378403,112112.73976965684
82,151273.06109987124,386458.21913856326,109290.73050206121,182612.75967201177,323904.3402369395,207301.21305438998,195936.81024846152,107396.46163076856,351006.15505526506,235009.70808055295
83,232700.54844649686,310207.5274835706,149209.87121052583,197275.42309353396,421984.3639967209,233202.57365998402,173543.76898675814,241318.08913088165,174584.5032111948,317316.7865430895
84,259462.67161842916,217178.17779419583,245253.54064694353,148772.82996087743,119716.502679864,145548.9492796308,387353.87696501694,54327.95121969906,135601.0026220088,173027.5767162135
85,120720.94854364809,305509.12607763417,306065.567918251,257654.37539989885,249337.75092976034,202350.84837889895,45889.2215472042,104291.85440048692,152241.78167700095,271928.46279829025
86,181344.6798428396,257365.58461447942,307969.8974305115,408217.3354417426,165304.0719703149,304742.4115574604,272092.65834035154,346411.5855129605,88461.17803812568,194841.8568330606
87,292810.3301747526,181214.4367426155,253103.25719556736,150694.25221251204,119357.89749151561,119653.38438935498,143155.048361731,90853.5419990137,200061.0732672633,311043.6777118972
88,209125.33814987217,142354.33818643197,147488.37132248044,383024.5092025333,134713.5603803147,136077.51117506946,163042.38703914784,308518.8442022697,210347.26914913685,328878.8285634924
89,105129.3187862638,170987.8794372705,303614.84037631494,270324.4130844099,94306.6109895343,283293.30231860525,242509.19616519747,25956.838002209064,207595.38015386966,375841.35400621453
90,157188.43491968102,92408.50474405539,177951.52813039656,117468.09724307303,166638.25213204452,127788.38755550329,376696.82140688837,210811.75439456626,232408.71753430384,311389.8841062641
91,260074.7046963521,265608.39392643946,296164.8736362193,215910.22675371764,249181.2715154278,88388.43431232798,281210.64045560744,283008.89593848144,176488.05673943742,171427.18354409302
92,81853.11259067978,57654.930327121765,309649.26248729863,269532.9689731273,166897.74517677465,121798.32878964186,235833.28409551794,380187.52477413195,239406.55913019236,113569.99114064542
93,348562.1412461595,165045.67635978264,220249.35417858494,264113.003401809,192297.99919796886,260100.34880883273,159744.06552291312,226713.77730755418,96864.32720655232,195775.18902877526
94,245664.89874163643,75592.01249821176,519099.56535590516,151220.47467107332,233169.57362443564,189327.64060706345,162784.5404663232,66724.43649268505,297461.65086812933,163556.86660452426
95,121373.43453320164,194715.82921873606,456804.46424309385,204383.84554695868,155653.55596219108,274645.7000779392,210640.1778728431,140055.10622147736,419588.4448328227,179857.91459584452
96,176812.08699796116,275136.9963684159,321169.8516715227,308633.4610076193,320941.96126630134,238954.6861681561,209277.76898226136,141219.3535054085,262828.9815519295,195597.18810503068
97,153815.8249835511,267304.8870919298,322669.7291773722,249659.45092137688,377935.0087085599,330035.1622869269,470687.35802946676,216912.82347304496,279406.79512774944,163604.8451318037
98,273481.90163426934,189246.14576450415,221987.27319306997,95050.58355880898,209403.18078151264,88533.06175110649,367798.5505152248,443166.5504719962,307958.97837641265,555035.2820525764
99,82959.77659580804,239219.36213911267,107448.82430688298,287491.3256396686,275714.8726287048,146809.41859880934,113145.36352152843,244857.05928593467,333608.38264672854,305182.50319149456
100,299505.5887433658,163064.69695096082,199642.49225282238,78657.15933244338,164702.19758357474,389803.0238741337,359099.44922635856,221976.60966094356,160587.18171818697,215043.3530815264
101,63204.230548710504,206997.52689373432,205702.73241379784,415468.5758617405,265203.25069139246,313493.51337246236,292032.2543741388,316152.7049848654,296869.1793415399,312156.7531706963
102,458151.4064913743,380660.45001698856,192988.03264695837,260194.87939313805,567728.199978363,179322.94649645934,213433.97156365853,225305.52375916348,166573.68790589724,141085.5802740572
103,311143.9033393082,286582.85510033544,524401.8100873381,467814.96612267126,225968.33467195454,317903.26769967005,78240.49977529766,65941.69704594859,217747.23543121025,102568.49772885093
104,189578.19800723257,227805.70788792564,227833.68072640823,219758.91539341846,197058.05768252077,191794.99668305734,207822.31627512258,161513.71878821173,160756.16481820645,354153.3254504765
105,376339.9749625826,176456.36354382298,248182.2905185202,211159.61366574917,309987.43336364976,131176.0847437802,159933.32318930278,313197.0852831404,174805.6344156769,295590.34557374625
106,335815.07081169134,210999.2799813181,267424.0581018034,162409.78254512377,272519.13304306025,401775.7416842967,221508.10691556332,195458.43395257223,228146.86010640056,229783.50500468517
107,171266.1991987658,61415.293755397244,326946.13981087616,237256.66459030466,272675.30336353387,472013.97600022506,175706.36766567142,181096.31624164258,135943.91566577432,121539.3809372783
108,238272.27569577465,337261.3327101704,375887.1264083324,204507.84382522613,152378.174254106,137916.3348796757,159753.48556498621,260857.53267198376,145139.50828632648,208496.571721118
109,226600.28254130745,242798.8163451467,387762.11498649896,316221.2004254698,282790.7118355357,183161.01860642727,175354.63683150322,244570.25531193695,280410.4142329772,251353.61404077272
110,137523.83162076253,173381.5506485998,135653.78316162765,243859.33427474587,497224.9581672022,264613.06328049896,328805.8266614162,199221.01995758954,94929.65875095851,206403.56439851254
111,159333.75421406486,156677.68461027739,161279.02763877437,172549.9565076635,236090.61130843364,349313.11846833664,277682.8117852171,164991.25271531922,136319.64796937312,269984.57550126984
112,270735.1416596915,394771.07715487864,223899.96206454106,232718.5801971131,125283.61882050683,160862.74672610062,175952.3736621875,237624.21711104023,316939.892587092,279438.59589632135
113,279229.9689462391,394126.36776696716,243923.249977875,166681.611294923,239398.61045287075,289433.2263566174,106652.7373469391,330721.03937885846,158087.7294971777,149422.91351346858
114,130275.50147888997,255737.59377919082,138040.90503853298,324884.9582585953,192142.56210211726,246996.7330749964,307585.4607485955,191852.68671339567,293484.94158048835,110240.824135758
115,254671.4539964807,390381.1045975947,176882.59044617988,261344.32935171947,160455.18136952136,129358.56449609909,210945.31923268398,290176.7885579092,300485.32706838014,147443.9538797762
116,299444.25487286446,299057.67070080404,224120.8642708406,318315.63679098897,135727.71588081314,156155.88233627396,186294.8290786562,254949.29617663726,327647.19971906295,169824.01047472312
117,171905.2433757826,155288.22815696063,269124.6634626059,155712.4651099734,136971.18143011697,270661.953870629,151346.63767326105,150479.93647471178,177506.36707187266,319737.25702789286
118,313520.2358080216,197784.3455101191,279896.638888419,140411.66892464794,122501.8912252583,288005.2540726052,137031.43906285387,236208.29311868682,121280.87823524003,185669.93158826992
119,306810.4999631437,299580.37518533773,258625.11205879747,171079.92850716057,231845.25183461345,320379.361535045,176374.16944589783,136007.75109848945,227428.88453119833,117399.30755979923
120,127831.45132080128,343118.8461156284,386075.2791063234,110445.90992773476,170920.34391201832,429502.55568027624,217310.23076350577,92852.55369184434,202807.20972235384,68031.53976856545
121,387140.7163214453,162079.02147616865,412295.45314712636,220716.98389305256,186432.05428585628,140200.7016000676,252834.67504958762,232778.7005824254,183284.47686605042,117960.91017062512
122,191940.37532724242,101158.57982350148,260464.8143974624,342921.9638285922,137318.3835614925,507193.22631186666,277514.91469999857,260769.4511981615,321859.5610893685,104310.40908872357
123,191226.16053695907,201853.20892843572,172811.02512636958,242248.97184269686,208261.87252938945,284733.84317474964,224968.17630416615,324455.98586672195,174887.31592504756,149947.39369953796
124,181528.86574262602,182863.02789035143,262052.4354671548,199174.14482981048,399322.66187192086,240529.83237146365,241181.0015226068,227285.3574681071,150615.00513007122,219790.60310921213
125,124698.42028391919,196657.54145216686,230222.04679685162,58018.878639275455,259976.8500056377,159065.86561476407,280671.6812719311,219621.44318780658,201971.8889417532,92002.87859836972
126,178156.7044134981,212293.0567154979,254501.63447463134,260399.59521028306,174094.59362357872,250397.72461459733,266975.0117867337,203131.83341167064,187627.85169954912,121819.85156109536
127,329423.9722956256,300800.6856438244,492649.895756254,170389.97315441596,209617.74353218867,178518.2044423137,233756.26010219147,459289.51679480466,150383.31404091846,100386.86217237108
128,247766.9643260115,287178.8916084255,193007.77481482172,317486.00045151945,331637.5450621854,285560.6224222497,76606.54603591998,276417.41008100973,232444.74405370274,171813.85748514766
129,419185.69700043846,168162.1531485397,244032.4353019883,226524.6834725852,232507.06448671606,170331.86282404052,79999.41605021348,221298.78442634403,259095.80606905598,260003.08344347664
130,183380.66759450233,314373.8431514905,243995.03614952212,372412.4550421473,184073.89090264958,128661.63542909714,113828.85852685405,129422.21972281791,216976.04060149216,480058.83230278554
131,173501.87627716982,158084.64633280862,175137.11920607605,130551.71548559993,171312.34373715363,147199.99701143097,135835.21018621873,176459.97586171408,132220.53517022938,179703.84375933395
132,154406.7736238619,248273.8331709338,167850.69621510265,323331.01448428084,294564.7251253322,111750.67334023537,216068.07990325082,200691.88134516997,125458.87767159741,264412.3744421336
133,165779.2221837992,292205.61725324264,255599.44431288872,89838.77238047935,309732.42696679535,282564.5803877795,163641.81764233357,211948.6393855383,148152.8467483625,210135.54809857573
134,196190.58920668974,280655.55315514246,112583.04837022419,183975.04847373505,137133.43332737192,366596.4533642792,86698.34969809222,230613.71140406202,191690.33035445216,168127.5947919449
135,198911.0873103577,75869.8747314164,231384.2106709322,198452.0547762411,223744.29261730445,116837.59399680504,286681.5536598289,257286.5720834689,175444.905293755,229696.55013820584
136,397329.32196438283,337058.4417783982,453061.7856876069,75725.21769898772,295878.7937896893,192672.73799182117,211926.43072404483,90545.64004927338,207831.30621637608,134149.72562409937
137,69862.5930749572,123408.52041911219,146522.2877833909,346447.03332518955,203963.22618710442,275765.7820423578,268471.8734645475,236745.40934392562,206075.5352740781,246465.31194783584
138,163238.43839528193,130760.50418865857,129502.68520816132,75648.94175585662,252544.20938182925,126017.63415918413,56123.95495950997,352441.3155876184,302870.6331879589,154885.09551682562
139,317904.62765705516,247498.3746489621,182857.516233838,71441.05099628563,134950.6016592866,181838.83899442345,172393.46200294732,88447.89091631983,224016.95002876932,327021.397101659
140,182008.70421680267,411022.3261673347,181180.46617271463,287957.07069076237,352484.46720534656,282415.3516614624,174975.4969587154,171091.29518813264,428696.2098458525,166556.61806649115
141,316477.8219749208,189820.31532126822,146211.65109150985,111867.24791387821,269050.13870182505,298019.16597766045,205427.52651054753,300388.36769218795,171693.90876931488,93552.65393576803
142,319762.2417973077,288040.2818344062,185476.68897137986,226683.28628679726,132375.9785871684,290038.481455097,268888.9683817701,230784.39946998353,160005.68066834717,161136.41208989016
143,228207.3545924289,115254.77024514264,145355.25286051375,211926.95581899994,151535.672589341,134399.50263187225,249224.46099200827,253138.5425950279,310163.9232837319,214323.90478784594
144,401871.9856124751,223233.44889114378,195351.53384813742,158467.64964883376,180210.84960538842,195683.58700946934,134303.34710190792,342322.59845957335,209402.61445243275,165941.81415560623
145,228565.2744696954,332639.77707160346,172295.99409827014,424740.9129879096,148621.117711741,176062.48327076194,170319.9575726872,114680.87063667229,230615.027246404,401248.38422659296
146,111013.03108382644,348045.68767724506,196466.3071691244,126596.70932268408,109723.6009464769,369016.0654956891,153897.7343741531,170836.14855180908,242488.536308315,147042.63733661736
147,274508.68015116535,98701.88237733665,58298.93186734933,231232.62138796097,250425.9163830693,133499.76103564003,228319.7019607716,204513.2468386914,203498.91445013403,240224.80908425795
148,250797.4340372631,280289.70538034453,271684.74365300883,133238.66803491086,271270.119838709,196619.2557103185,232877.6206010934,182139.36569596644,107948.6092774809,279634.62284176715
149,249590.62424942985,293774.6556696813,190819.06775868702,228136.93519554025,204530.85918002386,164048.43506639614,319540.28871258564,185802.28042137122,191959.19340496667,146288.34711959702
150,91254.01840406495,343134.4789598425,266335.1752688781,122218.27471101203,338576.5134296434,230134.37899902163,235149.51632764828,177437.09086527966,186274.66318932152,208088.206829504
151,194915.10334597522,243364.16810220171,232949.1166671018,108160.46157417296,284115.8384845309,235707.4205824367,66276.08637345693,217572.9382804035,179901.15659212548,239342.6598080823
152,198133.91043430526,114626.86581616971,200863.29190527034,302050.89294168423,350723.3885242542,162836.0650938632,201687.3833774767,169029.14736657077,103023.5680061105,242416.62801400397
153,371897.6466627826,125215.43412924815,135520.31253955126,158264.36167923818,157596.77221633162,147185.99053500575,407524.79350317025,391550.3514135779,315448.4232134305,238812.1023268517
154,241647.61855172456,143012.24500941782,251822.5203393491,223644.92646249902,283135.81056451425,110116.97595457458,321911.4528398991,252091.68156051042,148233.76633414492,217999.96322382044
155,158391.45906930917,254970.83913862047,223605.22573417888,142172.82333936094,175809.47608077267,354513.8763928854,173596.01018076547,281019.39233715186,228297.7687424387,133654.98425872874
156,215965.56685357308,93656.79767940601,199042.51340202166,336475.6516227692,255455.1314273232,188739.56440514082,154141.93508602807,179323.13303641218,81876.40072527848,246123.46763482192
157,382174.9964031189,226649.4272260563,264680.0534001711,272253.8539031163,65282.28833385094,104768.03968767716,268024.04450511804,280631.6466026405,222732.23844703846,263192.9538241655
158,210557.96307473368,285197.23801303946,355112.96978046163,393154.6959009251,159614.52280205165,201594.88188955974,351523.21712299087,187179.12327802522,132428.74477340787,184637.37089623162
159,163717.1398433232,420739.47879335855,160622.92539966304,257937.51428607092,153870.59570244217,138234.324005311,139848.44538628822,153126.84912854646,217500.6221502297,244648.86881288624
160,220887.32606626465,142272.66363082879,115154.37660546704,307797.8384688638,185897.04126477576,111210.4980445418,160578.41253010172,185652.0524776458,126323.9704273894,76354.79993640477
161,240338.18996227498,224386.67805853314,239827.10881360635,270145.573701169,292510.074029024,260289.60635137194,182962.048512906,313864.98119868204,370453.1318586392,267005.91189399466
162,151317.8222752729,143729.39299177777,123864.93245510414,173001.81378627132,175377.03395966673,195221.04197185626,455457.691062281,142456.34661801453,209743.06464822078,105016.39193133198
163,296834.92417659104,192207.58409113876,160315.2307216021,103927.84154677058,245101.21502932173,206582.80221972798,208505.62577216176,234247.51916146924,153722.98581086294,185737.80932462116
164,255883.35831823287,170198.36066894446,222112.95385125207,195015.11246315253,364851.5392022261,198268.20341457945,215318.42020134092,289612.1245699098,202724.9016819268,149382.66195555462
165,330539.3165841788,386638.3387571841,359356.0845076344,262733.6778312918,451714.9919302643,159581.14777147883,259365.6268356784,218440.40846228774,89465.60278615144,202139.93606883433
166,223822.58879452027,313256.2459179485,403356.6569234639,189462.56507835112,333610.16421460983,104933.63125366457,267787.8210682788,291714.23730569147,220977.14039027787,186132.18551716392
167,182001.70494064738,337775.6889491947,240925.12644219084,235239.04413398457,241135.74594180318,105547.75860436694,118834.77152255567,171584.25988527774,147905.07631799026,318480.24828460545
168,108463.47625542521,161499.00794147936,214371.56791058354,151096.5747082951,242302.66869325325,271361.44381867687,217248.41238102558,168256.90098456334,239943.8901441988,174187.4270643685
169,156148.0066513301,287868.61077116523,282646.2652083655,334122.59146904194,165481.2073608254,151782.57032905737,192390.07827061537,232409.11039825768,286617.9197084644,55365.91663930899
