,0
0,3.798222856989014
1,3.8304024069948355
2,3.7937712029961403
3,3.7995555130037246
4,3.8310613809881033
5,3.81394443300087
6,3.820117951996508
7,3.823436920007225
8,3.794664423010545
9,3.81358691699279
10,3.7690658299979987
11,3.811536805005744
12,3.813388127993676
13,3.83837042900268
14,3.816479118002462
15,3.7946468200098025
16,3.8269027070055017
17,3.745144207001431
18,3.817047022996121
19,3.8228892059996724
20,3.7674415210058214
21,3.818880500999512
22,3.830388271002448
23,3.7828652919997694
24,3.767120262986282
25,3.814243194006849
26,3.8008859690016834
27,3.752559097993071
28,3.81047583000327
29,3.801093280999339
30,3.8016544179990888
31,3.8127164839970646
32,3.7546626289986307
33,3.7705695390031906
34,3.777435728989076
35,3.785371366000618
36,3.8107177509955363
37,3.8064362699951744
38,3.8157579160033492
39,3.8126458499900764
40,3.8035441230022116
41,3.8137754060007865
42,3.779784901998937
43,3.784220269997604
44,3.7572480559902033
45,3.803904344997136
46,3.8343611849995796
47,3.787843618003535
48,3.7738188530056505
49,3.6426783860079013
