,0
0,412538.0302827265
1,327224.12156216137
2,233963.26701660504
3,178955.43656381778
4,440221.0396183478
5,213741.84908366474
6,248613.4813961357
7,258935.2530586959
8,448162.17936032405
9,322864.05144947505
10,364715.25647968554
11,350975.18707216973
12,344591.42217440926
13,315131.89925998193
14,251081.3204192945
15,296086.4350191749
16,340135.7706059431
17,238521.50139219876
18,229506.96978860386
19,319651.7813391135
20,235233.0617977795
21,318165.0028763016
22,238782.26084126031
23,237564.88890637056
24,206594.83643172597
25,322504.0157452001
26,289536.11822243605
27,271784.563253673
28,206562.65929958026
29,316181.642497193
30,405664.4352528427
31,398840.9156187603
32,220543.43491707454
33,281326.1199130211
34,303829.0568098648
35,310633.7430590621
36,278789.600754802
37,215378.04877701
38,275425.24829198385
39,117036.59578686187
40,238728.9937992191
41,348759.14566249354
42,267974.6018286684
43,363215.9117919625
44,350504.71898291673
45,323940.4226896251
46,232529.22172732741
47,255590.69483631288
48,259605.45710729528
49,254566.16653721253
