,TTF0,TTF1
88,354333.65601192875,256401.0445513652
89,168677.3370615375,278240.02386968606
90,152680.7291146591,207527.72851161915
91,251695.38555397847,211633.17648864957
92,219061.5710908968,215676.65370104567
93,151426.16738455952,236457.95928454507
94,236217.22594727343,292396.45774883905
95,476529.0334501202,168225.49448218103
96,200173.65791844908,243843.66572428314
97,421530.47670950514,180347.3395459206
98,254848.6790028694,271554.0418056947
99,388154.1608774122,200954.4807875711
100,213499.34234933078,140382.72255335716
101,57923.882194629114,273507.30516624305
102,359157.2436299905,218822.31354075903
103,144025.3418999751,189358.73557380706
104,158147.31677343266,251127.60592331365
105,209420.64968440167,128908.37617253429
106,308710.03593138815,170855.49077254682
107,195276.75498898458,269349.25724909094
108,309054.54637762805,160591.0424424251
109,241887.61733704215,333747.9010184875
110,202782.13395287393,179755.1043450998
111,185825.5845673725,203870.4875537232
112,430240.58246245084,363442.65083563176
113,398108.9583466982,178696.27808565026
114,112657.7372127579,238369.46505640555
115,179090.8755781232,173218.0776663395
116,208006.36030900627,184387.02851896881
117,201598.87189485267,241285.76796813263
118,286307.94230121275,461874.97805723036
119,237857.08923289937,103905.9901432358
120,228384.8780202943,253991.4722391633
121,101834.5233073091,313213.8333206432
122,180557.552281414,338859.43300144194
123,245029.52873563237,247104.49267482324
124,185835.60683486136,191077.6324145284
125,265642.92760329915,287381.6906831496
126,137869.31074119094,92535.50413714368
127,174054.05725225233,196542.04865158364
128,277010.8370376843,168540.45607782618
129,179545.0005991362,243014.09039216358
130,287075.18664619507,146899.49428386003
131,193686.10647015015,218777.05522639453
132,268281.2968290423,209507.08108022803
133,267587.5000789589,163903.31899374147
134,130997.22839901842,145808.2449841642
135,170824.1890462901,214073.18355226022
136,177704.00138447832,368737.8144299297
137,296829.8555092871,281843.15341408807
138,202601.07331409847,155671.060703317
139,321519.21404547687,243431.59475753419
140,85993.88517293766,169258.92345803324
141,241389.1323925809,410287.2932615816
142,238944.237260584,237242.94538585795
143,253596.01742080745,259053.79115618733
144,202027.86221792153,202431.89118131457
145,337387.022314457,303688.2957505507
146,202296.13423452977,261884.8688902588
147,397148.11640935356,225180.27948384566
148,233090.64614982082,228000.22338027836
149,97115.43259572521,395540.89939348435
150,154197.11275748504,276741.8332943485
151,428879.02822791657,274221.88233022316
152,206191.04757871397,453146.00203590665
153,200034.45194641777,357461.07609801495
154,332380.14925450645,232082.21825107542
155,255117.6896096875,336643.9600782712
156,180314.5004462913,192193.96452907578
157,257298.32865242838,324944.5973117651
158,176857.18986701782,209630.235002272
159,295094.3272512202,241237.2354836113
160,204205.4388760977,187537.4107077206
161,189819.94022708267,375265.7175899858
162,329547.9415903226,162706.3112453796
163,326048.62794455874,246778.0309711136
164,194300.9440481615,418569.46746999625
165,190688.71753927253,201055.4119972485
166,105944.90685513566,189860.13936165973
167,218952.69159468688,222227.15343163052
168,328716.96776395943,167137.140869837
169,166452.16361464764,248235.90188257495
170,332453.1068785053,305921.2768456491
171,192761.53317561015,134982.35007203397
172,385992.64759901003,201645.83372186773
173,231394.3728672132,187355.8072408159
174,378075.89630209655,81953.41753188396
175,193686.54184440876,158733.49090693457
176,307582.0528207268,414756.29556886887
177,181404.65337928903,144994.72664034372
178,126957.40955443495,342826.853749659
179,188986.49874965462,286303.6172617447
180,361288.58310331235,245824.93381555527
181,336386.28588538466,265169.59011248953
182,220286.56607893656,152910.12854534556
183,287506.4295539181,184449.62401006423
184,163198.11895792192,252394.43459525338
185,187084.4893471395,309056.1854279926
186,429540.24250186875,230845.8434179713
187,132987.7950609626,386909.0300306013
188,200810.04883296898,236627.48987675871
189,280424.33684684196,301980.66463306494
190,265921.389318403,352446.46004907537
191,173444.53533975163,225952.27640760512
192,261299.0417464874,181811.5616136313
193,218067.49250956165,395375.71180143685
194,200756.62413138885,180416.56553352054
195,139908.42933869894,263982.50752444525
196,316759.3821679221,116847.88405526229
197,309946.6144693754,162813.3964736585
198,182898.0772356409,416314.12637999194
199,221950.36711991747,314231.726338238
200,308466.4682681802,212690.73231385052
201,161935.29205857226,212698.41842743658
202,264773.1521013747,377813.5674486692
203,173362.5863573352,154250.25442909176
204,438798.05793011445,237954.08057329437
205,273766.612706266,409664.9735925883
206,181139.4740102663,184369.9437067727
207,164114.1405589023,167138.91453944158
208,211191.29719773622,203056.366862696
209,206968.80770884623,251784.52605417103
210,138673.13158791495,150300.97982938564
211,223478.51472103846,156546.05464106076
212,179362.68936309865,220724.1465964318
213,116413.71486118116,170580.99302022843
214,252555.5567977918,236543.35114723654
215,106212.92376292011,226105.10034186393
216,122580.08994160054,95229.11963954261
217,106932.66467471435,343831.70740988007
218,254578.85316777456,154430.7070195395
219,153296.89582677328,194821.9054160858
220,132226.0016088482,221832.85618453095
221,275406.3940141425,246812.49748453597
222,203787.03355259378,192419.70848213427
223,143903.07805345158,214678.78158650524
224,306479.1510745616,160613.79923325262
225,243780.0494495504,206281.09975644635
226,296446.28192811634,157089.3687853509
227,296162.5451608757,236399.4392410586
228,175243.68863825666,249244.50076482346
229,445600.04557078023,181682.83246673076
230,194151.273633964,203935.01398771873
231,201528.75744242652,258445.19443487193
232,151874.26163781335,122751.27414718021
233,300680.67929366545,245991.6194801983
234,209238.89826166636,312078.93058157066
235,251553.17590152845,355177.25904868764
236,313480.0163431775,114829.56043786972
237,74355.74562553287,154357.02149849833
238,203619.48638205987,260212.87936575915
239,268354.7603946067,334897.86820992583
240,178674.1517149885,302634.289493821
241,147014.8420406318,291160.87892262754
242,90285.39221518167,281772.7916928312
243,452344.3855032305,161855.2921051332
244,161172.42523891968,337884.26362462074
245,286826.35392028216,183590.79589764515
246,153180.74140411406,182796.17284341922
247,217660.25992614822,208872.85415186454
248,273381.37630949356,248259.13417216967
249,301063.86785382655,116389.67817223055
250,318670.5013856032,137833.57704636335
251,257674.19674786294,133795.20261094955
252,304108.2203692143,300551.7050832154
253,132365.8255353397,354962.704158079
254,362897.9961322971,152747.11226175496
255,131227.86318080558,149653.91621526983
256,373047.7299809961,464701.3982821265
257,283851.8151805026,317377.66688478075
