,0
0,302852.175753905
1,275112.36900491116
2,362175.4160050781
3,489159.69193730137
4,454724.4008624192
5,350730.3804920311
6,242137.3777610087
7,337361.17864124174
8,289629.53066276474
9,347948.17653674
