,TTF0,TTF1,TTF2
39,202121.94109060446,385352.64760503266,81092.59885290361
40,372325.90071965894,147917.22686779744,26530.14445306948
41,180199.0837353985,139819.86552540353,187252.88357214438
42,85499.10927450584,361606.79935028194,134214.28808544663
43,216232.3227619175,82140.23928391513,283281.61816016934
44,162285.64034677288,299505.4321639764,218176.0034382494
45,241448.6741498403,180712.56425856164,154346.05612571113
46,490692.8199085613,400544.0360315433,371000.71337823395
47,105317.15047900252,236639.44922256243,241083.7455409611
48,291208.01570956496,143327.44983065763,315986.7054172724
49,173960.6711522764,164533.23212883904,334900.3564248908
50,187955.50260093503,130068.73509995265,126196.14321877329
51,257874.87295914954,213266.74229727825,163234.57203659587
52,229172.57498417507,87991.46110295605,301292.36981726973
53,218992.05191322177,260198.8269901803,416815.8756624164
54,197967.66774825967,262459.9808719955,230567.6013609423
55,168061.6926889365,112995.58889361219,79323.8670427207
56,289317.48120736354,145010.64347606828,159830.53478813684
57,93045.9568261467,326692.60790481936,271294.9115354549
58,381476.85460921697,251603.919467885,184590.66124161112
59,75547.23429204198,328526.2708732801,183742.3611576039
60,206448.29374155356,211620.38395898696,146267.40846310003
61,312617.19335649716,220115.59526579152,245164.65808197556
62,183619.2761321028,288513.0520623148,132561.3191657147
63,204540.3348293339,175844.87418812056,275395.2211392955
64,137136.2550480563,281194.2128573948,468283.90041838854
65,101478.94130296884,249196.78919874123,199554.47006260318
66,94807.43454341058,214859.38110023979,190242.1346663522
67,250131.26002149415,154125.38479446596,233510.42858859737
68,116424.45350203659,204113.1406124294,259004.24701872354
69,140554.13617824385,264963.7556592844,193833.06641262543
70,298196.39856680244,212541.8307341092,230618.35016234376
71,228017.234179278,180697.92188967398,252986.52847072316
72,281549.7433808409,348987.2141293966,165541.70148380788
73,204645.80809236702,182629.71232924948,147991.59307867597
74,232745.51375442086,271552.14781883,304396.69748657173
75,119255.21921230743,122232.89719101935,178350.33960038464
76,320360.4804835993,191783.72389084208,164455.62148004642
77,265064.86301266454,368349.09925495106,176968.96784810844
78,98903.93447569723,192076.25383992426,313941.58751910966
79,130853.48092056591,172317.9230051391,220250.59476845234
80,189486.08854973124,373667.9183175248,178599.50315032684
81,134561.48537627677,280274.2981729914,142133.5573038823
82,332561.71957288514,228383.77449637384,169469.6636045181
83,271452.1361650032,237165.2970191649,324581.8663588737
84,257390.28222662947,121211.27471678314,159383.1770466144
85,273529.2813579196,171360.27371270527,194183.37653595273
86,165563.6048925257,123522.35153530203,292158.0753670092
87,228869.16042317293,129561.77617270958,174732.76481883883
88,227428.82607985957,214341.2646730078,380926.41258273757
89,100905.89594562569,133286.44381707415,460386.4378592892
90,184321.01828278386,310567.19306419947,311753.6219925743
91,330120.10950391914,326183.37592390727,162284.25229134603
92,271378.57732258557,93510.01657713907,130621.02785557267
93,188040.47244021657,107456.14484731093,375838.9592464956
94,87092.09721325037,292029.270168938,458059.20826766046
95,209461.8681788504,177787.88058328,383472.046843532
96,191341.61128275108,209455.09669761336,229844.23808420636
97,217259.8974047416,310759.5244079396,108523.44790406161
98,189873.50683083764,237952.30160140764,244114.23650112364
99,185079.41813749462,245664.85709343592,209158.62927879102
100,140304.28362366665,308563.0961801442,202348.24902817648
101,350156.78445697506,136647.55910759303,161429.272533371
102,174824.10285436956,319093.86032283294,225153.65587107645
103,277790.6775928017,381078.5156339285,245076.8498814916
104,267030.3445468834,225306.5066815954,240410.93648279228
105,275539.73313018994,223038.99386254817,227560.04452822
106,364645.80406288686,242384.0468614665,260592.66868458816
107,165589.3002263013,198018.91837653413,185655.18624094778
108,298767.7637501912,206871.1427039806,467689.56616064336
109,305885.1523993347,317477.09341897577,292287.39612181636
110,187734.37013907588,228865.047385286,40726.13306736675
111,295897.9094703057,168226.94065315105,262993.5704704339
112,181137.12110127622,258318.22786229764,303703.76166357286
113,189417.09275608163,211365.6249769182,192878.0811501804
114,219152.0210208002,169711.53664769788,265948.8962346956
115,508322.9759731863,339742.8016153394,111667.05668032757
116,158039.44407401816,96142.09077021558,198107.83278474482
117,248691.81162898455,163916.95569069992,333073.64582494565
118,137143.9057990023,212022.10114456667,205325.66589675946
119,404128.8208444802,356105.80279277434,165381.56126267448
120,179192.9956559111,366184.2767204738,548357.0034362399
121,363875.3012331786,557415.017718564,188951.10297274633
122,272609.88043658284,251182.474967368,176133.01456353752
123,421857.4117395053,176270.27547086857,359343.78091479535
124,121390.31762966335,160178.67001831037,366324.7399956406
125,329572.73806228745,198609.33352240207,289721.8525655466
126,223300.07449411845,266065.53993040114,247285.5080160992
127,363787.23258953413,113187.94974510434,341552.0729742469
128,200630.36120449094,311082.6553598965,92889.96964208789
129,283401.49188248056,112858.95353738293,230348.29005595768
130,173707.69322902782,85052.71794228748,192348.297100144
131,267798.4895740306,114536.35436342841,404418.2768509997
132,154420.41684734245,274267.78094960266,371612.2397534753
133,133146.12264404522,304506.61531998595,210446.97770761754
134,363684.42065982806,261407.18711302133,319099.5554924771
135,337051.65431162494,303827.5685304335,327534.22828779195
136,290144.4209670241,118301.30966769734,251516.42532981053
137,126156.9341812076,406425.50374131056,287114.6893896183
138,218773.66699299566,293328.2875302497,257821.18443020087
139,171669.67199149163,76467.74440316146,273939.0318134539
140,159750.68977943313,305044.72990956553,91069.37150719941
141,253655.54221040074,242617.70543508395,337338.14867259725
142,139052.55387020303,197182.9902183909,245782.97338112583
143,299365.11159081035,176697.90674125077,318387.275471705
144,244211.03392718482,193998.23409230215,308981.75071713026
145,287750.9127902986,244030.28227345506,145045.27817146093
146,220971.53902424002,156279.92363503674,342477.56017166574
147,298359.2165960564,236045.72636961727,166124.43317310073
