,0,1,2,3,4
0,2,4,1,0.381,0.921
1,1,5,1,0.378,0.918
2,0,6,2,0.0,0.375
3,3,6,2,0.375,0.75
4,4,6,2,0.75,1.125
5,5,6,2,1.125,1.5
