time	Core_1,1	Core_1,2
0.0975	46.0272	45.0602
0.098	46.0272	45.0603
0.0985	46.0273	45.0603
0.099	46.0274	45.0604
0.0995	46.0275	45.0604
0.1	46.0275	45.0605
0.1005	46.0276	45.0606
0.101	46.0277	45.0606
0.1015	46.0277	45.0607
0.102	46.0278	45.0608
0.1025	46.0279	45.0608
0.103	46.028	45.0609
0.1035	46.028	45.0609
0.104	46.0281	45.061
0.1045	46.0282	45.061
0.105	46.0282	45.0611
0.1055	46.0283	45.0612
0.106	46.0283	45.0612
0.1065	46.0284	45.0613
0.107	46.0285	45.0613
0.1075	46.0285	45.0614
0.108	46.0286	45.0614
0.1085	46.0287	45.0615
0.109	46.0287	45.0615
0.1095	46.0288	45.0616
0.11	46.0288	45.0617
0.1105	46.0289	45.0617
0.111	46.029	45.0618
0.1115	46.029	45.0618
0.112	46.0291	45.0619
0.1125	46.0291	45.0619
0.113	46.0292	45.062
0.1135	46.0293	45.062
0.114	46.0293	45.0621
0.1145	46.0294	45.0621
0.115	46.0294	45.0621
0.1155	46.0295	45.0622
0.116	46.0295	45.0622
0.1165	46.0296	45.0623
0.117	46.0296	45.0623
0.1175	46.0297	45.0624
0.118	46.0297	45.0624
0.1185	46.0298	45.0625
0.119	46.0298	45.0625
0.1195	46.0299	45.0626
0.12	46.0299	45.0626
0.1205	46.03	45.0627
0.121	46.03	45.0627
0.1215	46.0301	45.0627
0.122	46.0301	45.0628
0.1225	46.0302	45.0628
0.123	46.0302	45.0629
0.1235	46.0303	45.0629
0.124	46.0303	45.063
0.1245	46.0304	45.063
0.125	46.0304	45.063
0.1255	46.0305	45.0631
0.126	46.0305	45.0631
0.1265	46.0306	45.0632
0.127	46.0306	45.0632
0.1275	46.0307	45.0632
0.128	46.0307	45.0633
0.1285	46.0307	45.0633
0.129	46.0308	45.0634
0.1295	46.0308	45.0634
0.13	46.0309	45.0634
0.1305	46.0309	45.0635
0.131	46.031	45.0635
0.1315	46.031	45.0635
0.132	46.0311	45.0636
0.1325	46.0311	45.0636
0.133	46.0311	45.0637
0.1335	46.0312	45.0637
0.134	46.0312	45.0637
0.1345	46.0313	45.0638
0.135	46.0313	45.0638
0.1355	46.0313	45.0638
0.136	46.0314	45.0639
0.1365	46.0314	45.0639
0.137	46.0315	45.0639
0.1375	46.0315	45.064
0.138	46.0315	45.064
0.1385	46.0316	45.064
0.139	46.0316	45.0641
0.1395	46.0317	45.0641
0.14	46.0317	45.0641
0.1405	46.0317	45.0642
0.141	46.0318	45.0642
0.1415	46.0318	45.0642
0.142	46.0319	45.0643
0.1425	46.0319	45.0643
0.143	46.0319	45.0643
0.1435	46.032	45.0644
0.144	46.032	45.0644
0.1445	46.032	45.0644
0.145	46.0321	45.0645
0.1455	46.0321	45.0645
0.146	46.0322	45.0645
0.1465	46.0322	45.0646
0.147	46.0322	45.0646
0.1475	46.0323	45.0646
0.148	46.0323	45.0647
0.1485	46.0323	45.0647
0.149	46.0324	45.0647
0.1495	46.0324	45.0648
0.15	46.0324	45.0648
0.1505	46.0325	45.0648
0.151	46.0325	45.0648
0.1515	46.0325	45.0649
0.152	46.0326	45.0649
0.1525	46.0326	45.0649
0.153	46.0326	45.065
0.1535	46.0327	45.065
0.154	46.0327	45.065
0.1545	46.0327	45.0651
0.155	46.0328	45.0651
0.1555	46.0328	45.0651
0.156	46.0328	45.0651
0.1565	46.0329	45.0652
0.157	46.0329	45.0652
0.1575	46.0329	45.0652
0.158	46.033	45.0653
