,0,1,2,3,4,5,6,7,8
0,76.6755,72.2741,77.8297,57.5668,51.2649,50.5741,48.1114,47.3473,47.0339
1,75.4014,52.5908,69.1476,73.1332,49.9495,49.7099,49.7393,47.2546,46.7909
2,49.3383,49.6494,74.5303,65.9528,48.8905,49.555,48.8998,46.7536,46.483
3,45.8774,48.6038,74.2183,45.5996,46.2488,48.9772,45.4363,45.637,46.0079
