,TTF0,TTF1,TTF2,TTF3,TTF4
150,405043.5580320492,335192.47931315505,396509.93465663353,399193.9373663032,436292.13998608576
151,182400.06556038355,229523.88131442684,239219.22643811736,319252.2063883242,325756.7630397488
152,198726.56325218466,306476.0026358968,289616.2543726029,274340.1731674181,323542.185022418
153,233035.17589687582,372046.5068609647,240058.8687049427,283403.2812067193,282617.6690693902
154,289466.7086721851,318856.0649458465,244125.58001412803,324286.2403968647,259831.4602298739
155,180445.4490006693,209856.96818225304,260566.5458108782,347141.7460970231,217994.31938685352
156,135474.67689670634,247234.864425077,172417.58577229735,179623.95877152326,338176.8332247998
157,252861.96520012402,335118.7688038567,303942.4974721278,156842.95290774864,280051.12391736254
158,397159.5449877761,218606.74528233687,216732.2959878155,403736.1059365951,352706.3457971645
159,214912.63749650537,112590.14614638379,217763.13055591247,183815.6847183044,378335.72589706525
160,250833.05535638705,267571.09738929104,361992.7881909545,332687.33121660945,356390.20193399367
161,456176.9262731392,161316.41184415587,334891.3372957186,320431.84943017823,195488.3252048838
162,469663.6316276036,251590.27131842682,375277.3816836011,235853.31213926966,343233.920259217
163,356176.5573646696,318494.3776693188,240478.67691958937,201637.4511868697,347981.0655982493
164,245707.09001321674,261748.5560363515,348116.0845187804,325998.7541272254,483471.65990181355
165,94523.63883116304,142961.02950444908,221379.96999761503,282980.2925159037,335366.20111985406
166,281873.7129633542,173385.33094582966,363229.14973723283,237470.9147577327,268184.06677861814
167,255217.25189331602,189381.5004323212,226833.5450254527,264450.5525974011,334374.0453278568
168,239646.8310819637,252771.65903351517,307133.7943813587,317845.5058447944,309296.3210702136
169,276301.5161700346,145570.48485262235,245640.37108904665,236744.99420613196,327026.87242175103
170,417744.4720449792,449419.68666110106,296584.6435511251,265562.69397495105,300119.1462540597
171,269032.7459087062,254787.1439110392,226527.21844134392,214374.16597260922,308637.03193601675
172,189865.2109853844,197069.19570229924,380956.0555433348,315407.63665839756,223016.9311478901
173,297782.3622685863,229120.73002666427,150737.21763717203,266835.60476086277,234224.27308317856
174,209487.72320326744,203569.96411018335,276112.9087471766,414878.36584944447,370439.7122525167
175,245258.23860220896,143703.71977320846,316928.18127700314,233374.18099835305,280206.62112141564
176,255606.67805499386,381912.1437017956,209704.69939959672,212927.31962784406,171449.9643790394
177,231878.94291850267,301333.6696883153,389845.50174741395,272864.58635082515,224867.63879980464
178,253398.42725258454,225914.63945271051,250912.41757600094,225983.48111672894,297640.48826712207
179,165391.53676173778,265947.455570018,236138.91708862802,419891.56196039414,250162.8037007351
180,208278.75538876792,277579.1182556862,158607.77378746256,328242.55999568803,243415.059544505
181,83615.63437100576,174615.93616304608,258958.3912885318,236089.36779236782,216126.2881230115
182,39208.29426783475,262750.85586398933,174751.6100612442,270917.84122232883,223589.68250760462
183,158539.3689098997,250510.53044908398,263327.48978247296,278791.2947722028,266201.88166345854
184,219771.76474570262,211910.2422049974,201727.13309199928,387714.86486617406,307466.34881292365
185,181115.93767266575,256981.03114083837,231089.32950510416,299625.7625027011,325613.4429058851
186,107105.18163911764,243212.64124418405,451441.4510589354,176233.23738536393,196584.3234719276
187,211844.56474496896,203627.53834494206,243724.97992195011,227597.800603791,242077.55221082643
188,223830.12386548007,290210.3834089873,358152.9881724947,229456.5756051915,395661.3044361367
189,255938.7832525092,341871.4399071055,235192.8319981019,457448.0130541009,358699.7134211905
190,295859.06307085225,301684.79220639874,189690.73465728972,261208.75640803328,413527.5222276442
191,229285.7127315091,199185.3086008497,184790.4591885567,209847.7146517698,355404.78279584815
192,269794.19803003524,299468.84545824723,240888.27577099015,370656.8109824483,133916.37794147534
193,101425.43087820767,230527.51218413864,146866.36071539158,422025.0090945221,270761.88243717933
194,160097.61055415566,285640.1356006003,236829.0654367003,354546.1157464248,347766.47145875834
195,208720.13843378302,247444.5444916226,151754.03460075695,195081.66428734094,214971.50476949062
196,181536.89945091231,384534.9333369828,403773.90959094453,340751.1099257766,185941.68491414306
197,157515.68843341977,97937.66834245603,400419.61656944605,220163.8155175553,249245.98639606405
198,112033.03290986238,184506.86904786155,234401.7772664501,183198.16734983728,416728.77734914277
199,174360.09932961795,251048.9082962815,183804.61910927497,192760.0646693262,266456.98055849975
200,156303.81987435173,159730.86019863503,250275.26498622654,215708.8637491504,254255.77091022648
201,306555.53850232123,290537.3246881794,178596.36932881858,164750.26104379087,264452.9004814123
202,272267.99071640376,173292.28961058735,282206.67984927254,288562.3020208947,250224.22234236833
203,168358.78987716843,208015.91811752986,159293.79874264688,218333.6260921867,336692.438784822
204,169301.07930089993,342936.2842667095,254723.95221816385,174569.43114663742,282405.91747189435
205,75621.88022400218,112359.21667577769,303408.63076895603,220942.83524329864,352746.227372863
206,281720.5086219517,162512.96983788503,204885.46449020164,225415.91339648658,431806.0868738206
207,178183.56389877258,209233.72885295746,181635.10221543442,214072.54762090836,212396.5220122182
208,297850.6984443284,310978.6078724876,265849.04252264614,290248.04035037063,414900.27156594256
209,125463.00345829313,201293.17048771863,183892.35778595053,294654.6423383212,200156.0826571563
210,305115.8957474412,248606.44047757957,250455.3133039718,214203.8376554516,344179.29880262574
211,103257.73131651306,279092.35473182175,474370.7180786501,264166.76748253684,327205.09065308096
212,181159.9433745403,240242.367529523,161109.56953936908,291933.0583865965,284646.01304269966
213,184075.1077957808,407420.9585630753,268515.64022167533,210747.85054119307,322979.8949032947
214,294652.30745460547,194030.26080933423,267155.2120442831,202584.8315290286,388860.58605839603
215,192791.51297337734,245097.949639678,221832.26729085675,304568.2532150352,302516.93732313364
216,211621.43833925365,450680.318366021,149969.60430126163,263171.9518912264,279313.7878561842
217,175329.56985889983,225257.99883710893,168519.21526914267,258472.5136640484,189158.0471377613
218,221590.1182157799,302807.9601808047,173380.14835030236,401794.1642729803,292963.9975186346
219,323761.907316682,153241.91925411532,326348.75146184716,244610.63223799615,266110.7327648692
220,221510.55395447675,180964.48156662498,149725.821124681,452665.81912793947,246279.74855744274
221,72888.91332257749,164600.99352760703,113078.12227216724,207586.677310582,295935.44930303446
222,101274.6435339373,347063.96516868065,150170.44027431536,250193.1274157087,257374.3012337096
223,138840.07622272562,355834.69144983223,315203.2248165826,296209.4046460468,201012.93513557976
224,201361.5249628046,200195.07643396658,317526.4179432645,248276.10354141233,337653.0672778282
225,273134.1807309758,244187.03398736301,322859.19897110324,335129.18437897135,249446.14756044545
226,211207.09327194703,189012.08729199582,260840.28602381962,211812.17059213796,232879.42657603443
227,244817.16962403886,278519.1194876586,294855.5411663272,309638.3767451182,226002.49295926697
228,113894.1608032837,344484.7366037213,320952.92592767766,299269.1490869861,284201.0034188579
229,194790.73018307966,227452.85514010003,321640.24765314633,238016.46565595313,330241.69218397804
