,0
0,396306.08120648086
1,323489.0442442745
2,302987.6174236752
3,386701.33648017375
4,358153.82817971666
5,446832.6879177514
6,375168.0516706627
7,362643.96263100184
8,297369.95859198016
9,275830.4717183808
10,409534.05749827984
11,276982.6463424822
12,275785.1064863888
13,354931.1935961195
14,367393.2295373233
15,368678.78485524806
16,356517.12531808205
17,314749.9629541909
18,318676.70340155216
19,394349.42645094084
20,301400.589273432
21,414039.91686940484
22,334264.458179906
23,300540.53033975116
24,325600.6319673565
25,271110.82516572915
26,507494.9228071466
27,378632.7166569515
28,307045.17727866303
29,361065.3718330604
30,225394.26468172247
31,291934.3476052148
32,342667.7403763683
33,220409.52906871898
34,445133.4815658351
35,270953.1292149811
36,282287.0593959742
37,455297.1300699837
38,315762.03860527877
39,354865.42515772954
40,177472.35808413802
41,375649.5758434291
42,333850.9067005119
43,376040.0116904186
44,323626.449974297
45,234921.68640885752
46,336106.88870788924
47,304099.1265510317
48,280039.4253084846
49,437489.1944474906
