,TTF0,TTF1,TTF2,TTF3,TTF4,TTF5,TTF6,TTF7,TTF8,TTF9,TTF10,TTF11,TTF12,TTF13,TTF14
17,242846.08531359583,234980.87180612402,237543.15692077548,219508.76220401863,260183.37127354494,218345.0076012456,243994.94909366203,319393.6299423299,285374.8917352865,335751.64536753873,464213.18859749474,314749.9629541909,363762.11749578797,355420.86760016537,286387.08077263355
18,70887.37882229233,438191.2571012122,210249.2348702581,152345.57671803545,336677.3626632901,376940.6164001128,358032.72108250373,305744.1515310674,334616.45251605567,342927.44225671276,387978.15693770704,318676.70340155216,358464.3987207742,276920.3967626455,264970.2950188664
19,272691.3589209315,201245.0875922687,367072.20664052863,352983.2046279601,304050.97797815176,298828.7442910901,262935.55595875834,476847.2868031933,293496.4224208214,306980.63664408884,371707.9557129408,394349.42645094084,316241.8355093172,321102.8483232409,362215.428692368
20,427430.7982118729,200591.79110850103,393660.66241028777,286361.567401178,304550.89335951343,243271.03500569312,358127.61496514524,350938.5454752364,292650.8232485054,342409.1086796617,267345.2082608552,301400.589273432,329351.4957872397,388323.1920145147,263585.6891958529
21,169558.39755705366,232168.86531162317,188347.41990176236,187930.98252277015,368294.4670813141,352642.288075709,245636.2338228687,239757.32578064865,332157.0239268975,303769.0715986857,340654.88969878387,414039.91686940484,370181.670433012,449995.4786156564,387388.1736885029
22,183075.6217196997,146276.08323684393,294139.1859572273,205812.2322027623,345681.5539797891,367470.9279336167,397504.8159060174,321587.6618991437,378561.34487790754,298884.44392658264,401540.03838798177,334264.458179906,466654.17309340124,348692.6406695038,308101.50603424665
23,445141.0092685458,303740.97773071413,222243.45656626933,283912.695101716,313059.86362051,370151.6001416235,292575.386469731,337370.63986240036,309157.73912170075,347739.6753051672,333403.80235592346,300540.53033975116,516428.0896197619,457517.53519195615,318351.6552183862
24,124023.9190984101,243474.1704787902,285147.93666952936,253292.0221914173,359335.91633550066,281999.26848968014,242147.4396580182,396291.41425494227,344381.0628144441,322221.2104723919,466380.2228842494,325600.6319673565,327604.14063088974,431857.9957766153,425616.77569628734
25,265657.85711177724,231202.07835991314,219022.10906876452,253679.78332247722,292031.84269594576,362503.5745514646,439914.0001158463,371402.7067674218,403991.7175429468,373035.4787517817,317088.8003577601,271110.82516572915,366337.2909862206,345083.9938529435,458902.1023923649
26,278482.7702096051,220768.16757388564,198084.4508965442,239747.72271924827,295126.0670721233,336409.8820601294,429323.3418661264,346746.6407841936,265668.564918455,299979.6992781578,306367.06364578946,507494.9228071466,326919.03194929555,367931.31115435134,322370.6338492697
27,235887.7614876241,285232.23111238534,243732.49697821305,286251.5028261824,210185.5829464524,249587.21568405407,280336.35978241207,445746.24380918103,322115.15254922427,294803.334580787,225122.31788947064,378632.7166569515,291369.3704095072,404256.6420677898,494885.4893519912
28,280441.4826402557,101834.12769258769,328978.279281811,196347.79219777952,328223.9702345055,257354.38100029467,366148.00209490315,300705.01463503396,440585.6723533077,284426.4479882899,408455.1300583423,307045.17727866303,342393.6735393361,386480.3105159704,444078.90885521664
29,280848.2431834811,358631.9700088013,238243.86728755047,311845.64217628003,188707.03335291706,474617.7626772642,502105.564151327,328923.9676571661,456672.67209463025,265506.0565876864,311190.2595026097,361065.3718330604,295738.37537590513,379364.59607094113,395181.9116773986
30,187101.51513114886,323552.547109306,380725.9329997742,196669.5271846961,444132.9184151931,309989.5318544449,225848.55639533824,311847.21795974823,479778.83157418866,453074.8245723987,393641.6773858074,225394.26468172247,443014.96521295834,379238.8117093537,317418.19569894415
31,175017.92616770483,151187.2214202925,235176.3233475905,203736.59561720214,371856.6572283292,298306.17781532987,372534.58177405916,268711.48866618576,333598.244916137,313800.7176943738,467701.87073785573,291934.3476052148,411214.91313208855,296634.84272644034,362854.99383888184
32,307201.6041529083,187334.35601275362,220432.9525636597,302908.1976924277,296403.6300105901,350935.037531361,207689.59743365317,325720.22110768675,274192.7228134929,383800.1460860391,340295.24568867893,342667.7403763683,363683.00857481896,293591.96461910784,473745.4664082389
33,262312.3328483994,95325.46653236177,298583.7306509241,216936.88477603084,253455.70690877634,194259.92313924045,331011.3365431609,324383.1814494458,254824.33446730545,267313.9801395851,320911.87466155685,220409.52906871898,367270.4329124771,477094.8960949557,363627.15007242176
34,176862.51171183676,285619.3506439284,346915.95960847696,232660.5391830887,201142.83710547088,300719.43795039074,232170.4804331578,446250.1927712437,304868.01869137894,295937.254967739,285841.8488257919,445133.4815658351,249774.32710614183,418263.9001646916,458479.9157599712
35,378121.00311589404,239720.6568731397,372711.7897235907,218019.95089848526,284188.6577701261,329437.1439730379,281741.28946451854,289914.13601330353,281717.0204799531,397320.56127369433,476507.3761770033,270953.1292149811,412948.7707642471,303957.8919444526,363090.22435090033
36,295549.12775932136,160203.62151505484,250965.33733177817,287987.2055846377,231133.0689375434,290273.6195492131,209026.1060024644,313278.0849221848,288817.9668767539,393300.6522633782,365323.0626137696,282287.0593959742,360000.85487124795,342801.5929340345,391381.02763813554
37,111703.92772485234,367149.04937555955,216090.9977595593,320384.6876366582,375620.860869642,255419.68602181898,276907.94111018453,221336.5724619559,378074.38112019905,389924.41943274654,388894.2967371188,455297.1300699837,401150.8788119999,509002.5644896835,330691.62322341977
