,FFT0,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12,FFT13,FFT14
36,176405.48947642592,112988.0535698672,77869.52726563199,25031.02731266921,52559.503465478745,78161.15783886764,38507.45598891578,20223.828186259958,54648.537816223536,45544.23808388361,75118.26533783549,56643.44971984083,58073.491652912766,10248.889455962351,43937.14968538466
37,57859.7097742108,20916.459750513433,75814.5726780808,61030.19740659653,43751.97631974723,56965.95068069682,57321.02705765872,34395.09148651582,99522.47060754005,97452.43905110608,22758.252097909713,45585.466900885855,55399.76454999172,104247.96744690696,30745.133774315447
38,8300.183243531867,42644.4550409496,94120.61781782492,134328.0621733913,101359.45000710599,14033.446939984298,138777.95552606316,80565.28160729821,69056.32492675209,55618.092623531214,63728.23741807313,66511.41694221545,15882.45974933498,36078.32354430552,56954.10929967151
39,70756.41300105903,158866.95266180328,63489.213293835244,69545.45645545707,108356.9167221739,94654.33267314472,69698.39958681508,56895.28001701343,71061.28900938983,143765.6660890718,38572.544281787006,43608.11736932235,84676.01997192006,17008.442634550986,17200.726362644004
40,118458.46028391164,43988.484013723864,96113.15566119025,13515.546552824826,72317.89444384072,38210.88543670043,55666.39441969302,117861.30569184443,34978.72573395037,74385.00331977151,55445.48550595578,35297.30786641054,107945.70949201657,34412.34520252239,59226.93294235378
41,124905.4896637083,95513.99247488781,80793.8982019183,85012.05860147698,46177.81430294966,61071.90084893533,129857.43079953537,45593.34063895749,16172.505502044885,108441.70511664645,120803.56570994732,21984.914140137487,80538.93512383057,36784.81168594849,37233.25233480729
42,206096.62021063227,156701.1659825551,28588.697967880235,141508.17527290393,87278.33189870324,34579.42917714817,64438.68456395949,30721.507916201972,78481.05411381503,122238.09992261091,87401.36010044893,101969.1871352536,60843.50790143785,88813.84682695723,22340.35539412415
43,128353.4858060166,215893.2029678614,216976.28895179954,38152.23547050723,52401.28268489448,60604.99711209653,70842.8750343497,20988.582192600712,62603.03727646923,78775.45447088851,22115.207351333916,60709.34288948011,79332.14164622554,34781.769650848015,63213.28247625408
44,121500.55988574159,61965.76899392056,50835.87540263027,29295.766791444345,37129.91777520844,21347.145886789673,20294.08037488306,49667.35890849746,62568.298010609,77341.97883029211,134558.89559140164,14783.060879698376,38320.28116929269,71116.0770284147,65771.8982709781
45,131814.44545094203,132940.58497952594,124930.78070499416,162381.69994592943,8351.668043266345,112121.86444247708,52128.31723551033,49784.91225001106,10577.933846768536,87626.08440428869,54154.739235585614,28347.177872498745,38600.37720840894,22814.914239482023,121829.0128902271
46,127038.26542501607,45784.28889211495,62010.14104690639,174596.40179855953,69193.8213420099,15593.183841223168,115884.23579521186,23185.527216901417,60559.76462690276,69334.43800315287,68868.73571050465,33741.40079824681,39082.24165359969,44648.07490917892,95442.80276287338
47,102060.75617308133,118213.93650891105,101909.9211617859,63424.50069407088,13941.23987537431,58246.30152397858,30993.32300294408,16431.35775728102,77851.48325089976,24495.039897391995,53467.135023243,88534.14692242109,37409.95472203864,16078.036593057655,28276.766685131144
48,90473.73923220023,36360.62921100238,57461.512638110034,56125.53995449557,36534.32758039792,71199.7004505557,13331.93167346085,49309.15529529098,40527.81036453011,41095.04250589408,98532.29511836203,62441.06711044776,77263.18071675961,47409.84881359602,19655.815275284665
49,140679.65308492718,29097.37730020358,13272.543493898278,175788.45969865713,57635.948850436915,86179.19224638514,26582.108897494993,84975.0291408838,36486.7797687021,44419.43596329523,60056.96140769983,89410.2145416384,15233.298220833327,19555.098209488366,105146.60550006652
