,0
0,9256.987421669053
1,17204.301885483044
2,13422.151637019155
3,33031.49440103929
4,15221.357194812967
5,28317.495149652827
6,7205.338526319742
7,20039.17851244843
8,17910.979836805564
9,9365.66779716199
10,21672.697409230317
11,15764.513331687574
12,26119.766596065696
13,10942.145102587841
14,11461.079201020484
15,13658.294790710963
16,15926.064378555602
17,9922.70814618942
18,24640.183544506363
19,11045.592444633621
20,24443.628999184384
21,6031.759220240743
22,8747.757805761972
23,19690.695601838972
24,22804.840461656415
25,16749.523506425845
26,19365.866603079325
27,8365.285246086822
28,16612.96877444317
29,20430.54739693043
30,6856.913215255328
31,21235.657910096335
32,19874.912655505115
33,5779.930916907281
34,16628.57040591377
35,4586.360860039713
36,9184.274861396425
37,12152.813296550516
38,20257.357603193796
39,25809.53401997541
40,17650.371262118155
41,18437.147237162575
42,27757.61787789733
43,29014.739844889053
44,9652.643701325405
45,31338.4596994732
46,3573.9841313241623
47,27488.695875860554
48,15917.155118309056
49,13626.287965797093
50,4687.722996107128
51,15810.484231685206
52,16860.74110177779
53,12912.92706227196
54,15127.695950072364
55,14566.738614801325
56,13448.243149008013
57,23423.294258619437
58,16031.423785112393
59,14866.795851652521
60,24950.789072423944
61,28392.694010763204
62,17779.854465200195
63,13347.536836061247
64,17805.169587625292
65,14238.270959554267
66,14787.400754947745
67,6025.1188022921815
68,11566.859058207338
69,33715.16960478065
70,21511.943049586796
71,26868.427305298028
72,16062.881321790943
73,11850.930306712486
74,14783.174742677971
75,8384.180878512256
76,14338.81877770566
77,19522.13065291654
78,28473.62908252085
79,9170.365162588188
80,10177.007310121357
81,9325.330058329848
82,23893.746577910988
83,18130.91189495938
84,9953.4152026697
85,22800.39365338666
86,13127.691595860031
87,31481.945880810064
88,13776.34806520069
89,10996.468905802523
90,4148.0024895339475
91,32755.841420257624
92,27847.292330931574
93,11043.812796952237
94,6525.7621803027505
95,11705.725990574196
96,19700.852951428264
97,21047.162258170814
98,19843.108677689004
99,7640.667795526357
100,14129.202649657958
101,7971.452161134737
102,15264.451598590189
103,18167.787128281027
104,26468.3233818569
105,17088.629456417286
106,9794.926385441999
107,25156.333843308432
108,18941.273131551527
109,11526.20623428961
110,5905.142345884606
111,29121.515412302382
112,25203.574231400376
113,18214.753313361995
114,19908.97397096047
115,25275.837436798683
116,24732.872875346246
117,12379.520865234557
118,12111.796961890479
119,32941.900537325884
120,16045.96528808852
121,7771.915498875557
122,19910.169484503345
123,15548.478878105487
124,12013.819619811415
125,16012.563753466202
126,6704.487431400453
127,5057.654495466809
128,24751.936092910568
129,35751.53904108665
130,16361.916802650963
131,7128.880358652733
132,14636.024346210903
133,16291.568166437024
134,16816.150231044656
135,18895.213992192526
136,14845.906143433218
137,35217.0075108907
138,9725.740868851719
139,11239.25210237882
140,12134.751209879258
141,22177.48066319536
142,36373.73006474254
143,16810.251009777065
144,14742.381721987687
145,23906.48208278373
146,7817.842783313994
147,9507.960517427437
148,23502.333022124832
149,17230.54994294799
150,25019.481720421383
151,26595.55284092723
152,16092.452787528684
153,8226.772992105645
154,15166.050337967092
155,27755.639996112106
156,21844.27891177569
157,30722.97573335139
158,15504.25396383777
159,11492.320563890316
160,8318.772329380501
161,8736.11426807643
162,34460.83761127314
163,17730.623141000895
164,20572.929446010625
165,6476.03855842066
166,24751.506459935023
167,15436.594826432785
168,14455.525900215367
169,18484.583857254762
170,12601.935288307868
171,26724.861461276625
172,13111.551016112891
173,11981.715842780051
174,17068.63424252681
175,6460.590425045381
176,20474.307319311953
177,23452.62910869131
178,5003.0863983744375
179,19503.748815797673
180,21298.314526714134
181,23889.962767951136
182,20201.918874957817
183,11665.76720023357
184,9325.096669249046
185,19450.311968183112
186,27311.53791535867
187,26127.973984710512
188,7960.82337706218
189,19048.81129572892
190,14904.82849928769
191,17284.061598882483
192,29836.50833645595
193,15413.04749657429
194,16054.633925623315
195,12246.246582218244
196,12851.874440296255
197,11500.30856896971
198,14653.151167689308
199,12337.369714859677
200,4338.443232191883
201,27708.799793804494
202,13042.935725642212
203,18674.401575345484
204,12281.18589516311
205,7910.546891447315
206,12662.15826056587
207,15914.823757972226
208,20322.299940649445
209,28669.05723584216
210,17304.227773260427
211,13590.496564695206
212,23542.016749491388
213,19469.575842226262
214,26509.38735005828
215,37778.219302967416
216,12861.600054298404
217,16803.807591181485
218,19672.2886832547
219,6479.994642453175
220,14992.273096181503
221,23121.172149335023
222,16043.917655224655
223,19411.539390282487
224,9433.631704785737
225,29401.050701979217
226,18703.363123932722
227,17203.387143822998
228,23319.622647643664
229,9441.131631555781
230,13596.51376075215
231,26261.60628347822
232,30379.868771309328
233,43056.73187443893
234,12409.761675916086
235,12315.61521812911
236,18815.744369949076
237,17452.316303820244
238,30504.88468169033
239,13304.291380214498
240,13775.455903512648
241,4696.268545317867
242,29575.25256617382
243,21644.256007695596
244,13898.98735959349
245,9360.094396066976
246,12114.151901746493
247,18323.61782213953
248,10660.6967983502
249,24930.39524297208
250,7928.444152580927
251,13873.299807246369
252,10138.759813464574
253,7980.262815414956
254,16569.97296729379
255,29401.548580255578
256,6844.574438265453
257,19227.600358532392
258,4875.177138630317
259,16342.021525970356
260,27704.562951618205
261,14922.024249043252
262,22342.65667962768
263,17553.661757046506
264,19565.04668210223
265,23127.84910509605
266,4661.898846580776
267,12331.795377214918
268,3527.6935991338587
269,7856.083568774256
270,1693.79315966909
271,45887.92337464608
272,32381.179646579858
273,14712.509842200201
274,22323.945072809373
275,22441.20042447225
276,10481.744990077153
277,14496.518832892427
278,30979.987107118624
279,20631.32760987409
280,34738.61464038235
281,19986.862629879914
282,27369.068554581492
283,16129.568678687976
284,20246.37261894422
285,13049.781020823912
286,12064.27346893814
287,26008.578647350674
288,6311.207284683787
289,16454.0000253744
290,22222.80690149268
291,9556.763442858768
292,11416.179772092828
293,21878.656079993096
294,18205.061205650745
295,21877.948226210065
296,10485.085143905844
297,16650.324814251326
298,19623.669310158348
299,14951.631334022328
300,22274.947578760617
301,24658.085438560516
302,17636.308261396975
303,27830.12955122097
304,27221.133104452125
305,14166.050511216436
306,13368.550495352187
307,14358.412796055089
308,24651.143913371765
309,5686.60072075988
310,32869.64565702733
311,8909.43989637083
312,15086.562814553068
313,27478.37225926012
314,38365.07333393854
315,30342.19331528543
