,0,1,2,3,4
0,0,4,2,0.0,0.375
1,1,4,2,0.375,0.75
2,4,4,2,0.75,1.125
3,5,4,2,1.125,1.5
4,3,5,3,0.378,0.666
5,2,6,3,0.381,0.669
