,ttf,fft
0,170602.55686333738,133250.7218585758
1,351800.1881971651,43751.439389207
2,394604.7375897964,155744.59913354274
3,248796.68443651637,206705.74739834463
4,179214.8519176514,145911.1197647039
5,247611.45870214188,78761.61936963085
6,327236.1763642656,104449.9115373361
7,259974.01779039414,67738.49447057243
8,350531.03696042375,183235.2541994412
9,241508.05977780145,138900.74597880826
10,224203.86472980492,138401.75481320766
11,95582.68336131683,51353.1025530393
12,166221.4335560384,80139.23554192726
13,229131.5110505352,123495.59576199624
14,333728.7877957716,55092.817411841024
15,226116.04119207067,138887.12138657575
16,248232.37355332272,88071.5600768491
17,267051.5181166406,81446.11099671805
18,156849.8869382738,46565.097370033895
19,173766.8224982102,116815.47231758872
20,168274.04311760713,153482.9462707942
21,358495.92362528614,61337.377169521984
22,186466.68015107422,163384.01693897435
23,421487.3776150467,234609.26400020198
24,214852.81922778225,96672.92241325437
25,414345.08589954773,342759.7914857509
26,251993.4852632344,121184.90527714055
27,217640.78200695137,136070.9933385457
28,96654.49588055527,77353.23661944208
29,189647.1947000244,123720.35130985905
30,185555.60940261657,36840.4927485127
31,189711.56595586665,156985.25557903884
32,242325.69480250354,69585.81488182562
33,282315.9431601562,166721.01705309472
34,235727.79717866858,136084.7535296492
35,168284.04128413837,69159.54163614662
36,310866.2696893684,214995.09272691415
37,172693.42960582848,41052.30593192417
38,160958.11095440006,29741.789324868583
39,237338.6875444873,195106.48764518718
40,151161.0319331602,37994.687625896484
41,258126.04112856553,91957.16345029455
42,186157.90915800873,109852.79667674564
43,396625.07680577686,86596.15730450225
44,133833.2695495878,66795.19424749087
45,111388.60054193976,110261.69952844256
46,179803.6839708652,135113.55784382432
47,253597.96638368902,158278.27541144972
48,173020.02686087877,23372.360176478356
49,402710.385266162,273547.408043454
50,220623.61950223014,59739.61699462739
51,245822.22430049823,184732.37495720634
52,179085.27239525263,36533.04178534651
53,130536.73902287438,121935.78530611507
54,227842.1189227581,15604.50880268988
55,249830.23460816592,47361.47839981578
56,240995.74774000054,90344.8131454643
57,169799.54969539004,119078.9421047979
58,119876.51052135666,85865.51256731724
59,89665.33982686946,86379.49868407824
60,287903.3711248976,82739.14553049703
61,107958.33016103283,79398.1636136204
62,165791.62520537982,125304.0180625023
63,182328.36708496982,150607.3332705236
64,390677.72712853673,97568.0261378627
65,152601.55044906173,62396.906889290396
66,272685.7982463188,189532.89266265114
67,159792.38128810408,20599.423594238586
68,199015.6430605541,192504.3395934461
69,228216.1578260922,166758.16471192063
70,503498.61792513274,124527.36633669863
71,199626.24791666074,103786.66422769683
72,298548.40270425845,204148.594407849
73,230068.44429496521,43724.149161399015
74,152227.68183929165,94535.03809385156
75,209018.26578492828,167372.1604398293
76,398271.40975055133,192907.45732843268
77,174942.39741626443,121074.19808404564
78,268579.07486731035,246594.7070068477
79,284229.4210084793,155855.65841798208
80,240705.81270270777,61405.16500215987
81,300558.0106805439,258862.6750724461
82,259602.13941528124,79873.52787145111
83,189274.34086848877,72391.1062340029
84,180429.5917402545,135392.92711567096
85,355367.1583051641,233323.5979500943
86,305454.2151144146,127414.91341370817
87,284605.40964646055,189762.9369662236
88,258255.50647301524,107206.83868077007
89,358311.07778058114,326831.03474440816
90,117616.1698479668,92710.90139416874
91,160030.08760904538,119447.41832843065
92,229410.48217368167,134179.40406991303
93,334104.4669839189,273171.5217750249
94,164786.9808764067,82576.33570744372
95,250424.01968423332,236392.48376451156
96,270787.0610342043,86367.12874782816
97,328714.0971241583,226852.18856919024
98,192385.2610598306,54246.362947733665
99,354167.48549667106,319566.1949714142
100,184295.3714674874,173826.91586129696
101,227114.67288141904,141783.4843511454
102,95008.57290545249,49525.61105118298
103,285577.7086998712,29058.72159908844
104,232871.68273689097,55789.67266695165
105,176702.44867438177,50542.398234865905
106,63299.88494624309,61252.525760217235
107,216499.39047261834,183470.07411193292
108,499579.4937776486,128762.00292773797
109,314483.56850289006,120344.17551834197
110,154648.08969928598,98828.432832415
111,173887.56959068065,115134.79765126771
112,267020.7815151538,180040.78857451136
113,207254.26951238437,36725.975733876934
114,194648.85118910903,71676.69548905523
115,202899.5127315966,150878.63606804
116,125265.24297376382,34061.36521423469
117,59163.40441188957,22834.496590389863
118,163231.50081215712,71655.19552626093
119,161935.04367392207,63400.57393316828
120,247618.9864714886,83180.51037440517
121,368503.25438888994,236298.86646729187
122,414210.6272940899,66131.42521569016
123,346105.00879165163,217987.06863327278
124,138610.03887782103,133714.82863148156
125,248245.07986009202,233719.33649369617
126,250230.05324962674,217440.4457302538
127,206787.3481164021,188618.494801791
128,242906.63967428962,37955.0418969568
129,284901.60620183917,236063.77793688167
130,217306.34157579474,77236.74691954153
131,285317.2623179299,206342.1583918183
132,274616.8206394117,165425.49723553142
133,100500.51102841458,60513.60237378814
134,255888.6885862612,144991.79094369867
135,298406.64659424365,152864.75687064027
136,365924.57305058907,357312.1603756368
137,183135.5626408863,41463.87498865099
138,172685.59537211322,159165.91897934966
139,254973.56000561826,125552.02905854325
140,310208.23152492533,115876.53382414776
141,305283.12366447464,281139.59428833425
142,264206.9150943347,221998.42169152823
143,112513.86131212146,89496.18386799745
144,142031.9359722418,77047.14229387019
145,452458.67915586906,101410.3000762501
146,222907.9521311167,56001.28590918897
147,200719.84777156485,133609.52630768804
148,316113.2054411407,139419.18466766254
149,258829.55739176483,154122.05785247523
150,295060.1193916332,238901.09200415533
151,224092.06208066677,193135.47961244112
152,67960.27930794706,28383.27402399548
153,300447.87632702827,133694.1369487742
154,233530.85143933105,169172.45969596686
155,262696.5101371879,73057.00152985082
156,181183.0219733457,59028.24803867736
157,258369.5393160533,72822.33908036302
158,403019.54087509663,57596.004652139854
159,252512.87115124543,161856.05295934813
160,183480.40981641982,175980.29501674033
161,172893.03512910072,117026.96283316563
162,284601.7911095583,155948.64761005293
163,333209.4036886076,117593.40378001552
164,105105.27677056401,24310.005569963443
165,251679.77840805252,94610.43876558224
166,98423.62324919555,44649.03016443068
167,233526.04743888398,144744.10113701553
168,246515.74139705807,115094.8110950646
169,265814.7873424953,117977.91999693614
170,91443.92620826064,62197.06677451423
171,267880.96500708844,64459.37183239982
172,57827.011712460255,28656.20108063602
173,246021.53270193608,97142.12650212018
174,348101.3623771431,230858.92953386475
175,296859.0557242696,208060.14082741045
176,142351.84595427156,59392.621001500986
177,246142.54332492923,213045.10789520058
178,283801.23358919856,245705.10352520013
179,224730.9620909725,177776.0708229937
