,FFT0,FFT1,FFT2
112,39011.472025189905,195122.2130663745,106998.35127651133
113,153995.04877039566,196001.4213215807,183251.41514959984
114,199679.97218714588,79223.9832489488,259501.93993354426
115,276475.3277606633,90843.13699281363,33926.27335737005
116,69480.28841819578,89298.95529809725,29167.91580936881
117,172546.77691756998,65475.74797234817,183104.26275565024
118,54253.63741821735,142243.6553393754,144860.39251412975
119,179370.1582637585,14464.209167181689,121876.9891958023
120,87598.52551193755,191702.92810995484,208499.05739136116
121,328564.5957052829,181037.93584754335,131183.51913711443
122,209785.689673142,117473.70666812126,54206.140708796884
123,109483.64661805105,109117.7807748067,168337.7711994004
124,81227.26361171079,147775.04777175214,106170.30339375406
125,100739.61976457233,48135.223663993944,79138.05831362623
126,111384.11928624197,127164.35358400637,176059.6321681909
127,161831.40971918855,109052.54441038473,37667.783618572095
128,157360.95547522957,219170.9659289931,83371.90487819603
129,220354.15760704002,94133.4912534803,185681.09158092103
130,141473.09459663165,36315.9089683739,143969.39877882757
131,127904.37796983522,46353.98930963388,146719.2228505996
132,67385.14051102455,88581.85325804782,89655.06981287952
133,126891.25271985646,208301.52393519323,79466.73705754054
134,248789.15596684528,111453.09043944716,213949.73146779725
135,139781.07177933757,280658.1316633385,220671.43189588317
136,161837.3019064869,85052.71797131962,83934.04247455233
137,124205.1090425959,111355.78265282312,188338.5481645936
138,135258.54532762544,150008.32014940935,166214.98890035038
139,160887.40652809953,65623.89709084528,216004.93024584855
140,109526.33418210622,184689.32814928872,34131.102584168446
141,93363.92055324087,218275.0053172376,233388.295643216
142,113547.03104883495,145331.49048573626,170725.8613588596
143,107984.97122292731,52256.522108746096,248711.77374564073
144,222117.82671171275,98697.79400844568,119495.5707471649
145,96001.56136723325,198751.3710934466,83341.63722351895
146,71967.10692836714,53672.61061274367,103035.9508624689
147,153024.64564475874,209777.97005999403,152841.4555914913
148,240301.2407055244,110757.81455956031,100640.54050663914
149,211610.89110090074,61073.35595466911,109273.34013925956
150,176713.33598883855,45045.17740434424,171150.53166000126
151,84491.02602709162,83723.98740566302,259678.85188245127
152,137529.75468309573,85733.82048224725,151257.69603292254
153,227850.41655324827,28917.39421894956,89289.784646416
154,203510.96133485943,273253.44738946774,325334.3340491796
155,152366.75833792987,187825.04450584264,132681.36747412974
156,114488.53122688745,192457.89584159845,92748.17882627329
157,68210.48068871582,96020.36340870605,71164.81949343896
158,177740.1485825878,218345.40534485702,74825.12237481549
159,37087.663788382204,124095.44908558617,45118.56070717158
160,147583.61574869746,204230.09856519787,76588.07530303868
161,105715.2746663639,75711.619901449,162677.6314736324
162,163955.21919163686,223861.77947753915,59873.378494690995
163,89032.02123988172,16961.069720189185,58438.322560261855
164,82782.34927358392,43871.59767873496,125425.02954100205
165,138172.6784394993,34345.06206513359,145292.16906605623
166,66455.06621034506,125586.66648927664,100051.74810935151
167,113771.30035389001,236995.69373283366,64832.36746037608
168,205597.4814740902,140975.56560159,57066.36954873486
169,88377.56198604536,156012.13639399942,46089.85419935098
170,108927.76539300304,92718.74336223393,280174.51569827413
171,75468.35768427896,127552.59662020636,303842.6289150879
172,103570.1447180258,70528.64196656742,253512.33501009794
173,72823.67464405538,83929.03819278657,77840.45891506474
174,164241.32575127788,137504.44636713725,139973.86584307684
175,153164.5884706117,82388.79407436961,106091.39424775384
176,157281.8514210386,143554.1579629491,64649.56860613856
177,189677.8043792657,140295.53551501528,145854.7213223114
178,198339.13880440305,216231.86563503937,132090.8133784163
179,80786.12699756166,23055.231173015785,128179.40993699456
180,73412.68774426471,93611.38629694753,173848.1106325806
181,58319.67597360625,105739.19907143855,82784.0980240574
182,22577.66007349451,156769.90466937333,81357.96303598933
183,170499.52704570486,184191.34197661903,101757.62560403811
184,104306.80580816684,164117.89872511761,215768.62519270348
185,82225.1724074366,146658.46501253193,155397.37288475854
186,97390.5596290383,95229.26767685759,67268.66467317888
187,117229.18444389635,91957.41343580444,116253.99919575143
188,132076.84069422868,166229.84798157495,200145.1841489357
189,92768.37510488981,154593.28810793013,131063.10058828967
190,58227.69555460183,245623.69229902583,111765.38203735121
191,141479.90700165345,89609.6642491404,226128.06358185783
192,122174.35970511772,30252.752784782024,115946.32421080924
193,138766.59737819337,121485.79319594699,58717.72726737013
194,136928.873961913,12451.755753610169,151145.9709576669
195,177735.41589467388,108650.71210282428,111643.28871243149
196,95263.39353042403,44949.51466515651,174267.52902965152
197,149361.46231300384,156543.07223489764,267859.79485144233
198,144125.4824229276,71199.65822359621,98122.12807194954
199,58238.38390350106,84686.54096365417,207713.154863674
200,79418.06473934077,33911.07578775203,98407.51334065064
201,229919.68725617183,259697.6634201512,90579.9294138875
202,168960.10607918122,43334.2920753597,76971.98811152973
203,139132.36574809992,81574.03311347723,67687.09106902342
204,143571.60439149887,252286.13607813726,16735.944478609443
205,89211.0159548674,31491.526123367952,75301.041978011
206,86474.92639211912,61737.05844276666,85376.99866255157
207,107036.55514520734,139894.9685101984,84204.42134341363
208,14276.798622565437,93055.5075384341,137472.0507987818
209,114533.0174790626,109194.93984213387,115941.98611565054
210,32584.553348964706,95883.02448455627,53130.51506643822
211,271149.0212426085,170289.51827487734,142306.10575042278
212,241635.83890898284,51854.91668902405,84000.74548362881
213,176121.00277030922,78423.36499230101,58278.00959708439
214,146325.66434930768,122507.98282019365,137454.81699369673
215,316102.4054532712,108142.86610938152,71958.3334835164
216,172750.3001354123,99548.24114846888,61268.029403859786
217,56228.43105908534,238084.66548020588,23271.395281226454
218,101095.08617659309,79829.46194065892,112800.94436322544
219,13798.60390363196,26351.835024627984,117928.83674137705
220,149256.4124291883,141928.79264059613,91455.78015092258
221,122876.5316295521,115839.01844230742,180850.65398544542
222,182498.75295842203,81459.33512874634,74406.66980726802
223,224689.09657319845,71625.7579041402,39232.915536168504
224,350785.84091662226,185853.64593439634,169874.4979470492
225,138694.43334350624,93185.33496412424,125320.90887180263
226,75576.95089168825,271269.0591116145,225178.17070948504
227,120304.21317903537,126345.77042983274,62672.567030369464
228,52854.4777680279,236055.87197072848,52059.59564825113
229,105957.25563516181,117872.61013729016,63723.895640088536
230,57925.42971252517,195488.6370411887,159391.7418681846
231,198544.39111341003,27958.09841741304,76463.24114690287
232,108578.62024961427,151033.19554927063,60781.92625076049
233,134216.05854994614,91397.35730379068,111452.98653016033
234,76145.3782092471,53690.96784464622,46180.94696247489
235,104102.25916236783,134862.24749145593,26888.903394450375
236,163596.44995132522,97862.30522441203,100625.19518787958
237,63422.82451344352,71875.33096645022,104022.12878871424
238,52763.43712066207,241735.09975057686,114311.4141165189
239,185391.47864657547,36778.908884425,91612.25930358292
240,44007.94119806948,189860.46615714068,104588.5292181361
241,64417.27654575713,245005.3274502414,190231.82906126443
242,12099.013518576734,201082.56476870173,112561.75888764906
243,84049.25995452233,152838.95773049237,215562.33094185044
244,55848.03028965739,95062.3851644053,198896.6546334556
245,185975.17401374676,88516.28127150406,141397.10802370444
246,103027.20824346962,189171.60346561167,196560.35392056304
247,150314.09032717036,57615.459708343304,101463.38973189946
248,179036.59138785704,190114.68673076108,128245.76275164053
249,73485.20812344424,149117.58956160347,133967.1224661367
250,132576.16927997782,169274.8197888817,128776.56194326741
251,152625.1481729191,233400.79528738715,148361.03461701123
252,127881.99330763191,183515.00782711094,129255.65053947754
253,126544.57630831549,39231.86831086031,101090.54227202287
254,173046.5685332678,126039.95638737023,109662.93780893722
255,149087.48742529203,39535.6933004854,121006.40166882127
256,145006.20234451638,145748.70583473708,49478.038524720534
257,235121.73070708703,252355.87572019905,77386.15799576536
258,163755.49199493704,106538.31865766503,239194.420449105
259,270836.2858290487,33604.866785778475,265181.1447587798
260,111045.24721735108,106148.96916163749,82523.45844185016
261,51791.92167661808,90614.46666721265,40899.97555052748
262,43633.34968863847,55122.0806487362,181636.14349639564
263,122268.52627755517,89519.55534238211,120738.08211976106
264,126193.62676759563,62687.38726887938,51866.81725597401
265,192666.21515378455,96760.82211903087,95217.42134724121
266,145241.83214881527,49213.61399864588,82127.23561085665
267,100299.60561072436,31510.91041215064,162578.7121841928
268,54138.82441604829,305647.8095887533,116941.010481237
269,144892.855890152,93650.68921673737,163499.03038751154
270,140738.82380983437,267319.15376142395,155348.1269892992
271,236809.6267264456,343688.127318551,68088.62775858444
272,57860.11828676953,187685.4455750292,179955.2960707659
273,37459.79642150016,158374.87044589614,76016.11982373062
274,170400.3075749106,197197.39745241054,115916.94001912593
275,153395.70117165465,263632.1223998971,232804.1807142055
276,48818.00447118193,45000.1337541844,192678.01321613038
277,132894.79884387107,43782.84604746329,112649.99013676141
278,82104.40046879988,111893.24424244271,254741.86265180004
279,65205.777761637866,53595.92480769916,52639.271945696135
280,47101.40541800347,279794.0660333025,125142.21237108568
281,137680.18957378186,179553.3147558181,138475.49897905867
282,66714.64108209692,119378.94027738259,207105.2492922182
283,112308.65953542462,40544.96630057811,58506.375796943656
284,136064.26868083508,219677.26850648763,150126.56107183406
285,202297.54715137376,16953.28906095769,177041.94876368452
286,228745.07188334866,190334.5006334297,244647.70901768288
287,21511.699048850165,100348.65651809746,190515.1536441358
288,171390.26357622372,144317.49661475988,62941.492488883545
289,72598.51959504203,60627.489372496086,4780.148056446394
290,170110.28618258276,153420.94299345496,66743.78685654188
291,82754.65280744151,66115.610820637,91896.66060137954
292,205555.0781045713,214498.33032419917,148344.96404175155
