,0,1,2,3,4,5,6,7,8,9
0,39.9985,124.302,119.596,117.538,114.217,75.5081,70.967,69.89,65.1078,63.5835
1,39.9985,122.869,113.531,68.34,112.842,73.2355,63.8312,69.3514,64.1345,61.8509
2,39.9985,73.3344,107.535,66.9298,107.076,71.2088,62.9668,67.6907,63.1924,61.3024
3,39.999,67.216,62.1777,60.8215,105.612,65.4841,61.2002,67.216,62.1777,60.8215
